,eis facility id,site name,state,site latitude,site longitude,primary naics code,primary naics description,NH3,NOx,Other,PM2_5,SOx,VOC,geometry
89,17611,"MRP SAN JOAQUIN ENERGY, LLC",CA,36.2704,-119.6474,221118,Other Electric Power Generation,0.44173250802594766,0.641243533469,4686.430675227217,0.47051861383755406,0.042937402195673005,0.055589015002136005,POINT (-119.6474 36.2704)
200,53211,MT. LASSEN POWER,CA,40.297,-121.018,221122,Electric Power Distribution,11.8115453148,76.20351816,57.15054569339381,47.876537668604264,4.9414171350852,0.35802045764100004,POINT (-121.018 40.297)
204,66511,MM WEST COVINA LLC,CA,34.033443,-117.906284,221112,Fossil Fuel Electric Power Generation,2.9064384700120005,7.919722780200001,5.60284957104292,5.817316888114432,0.20455741111003353,1.3377255457566002,POINT (-117.906284 34.033443)
225,75711,WADHAM ENERGY LTD PARTNERSHIP,CA,39.1055,-122.1104,221118,Other Electric Power Generation,0.0,119.2613192817157,147.28252726679875,35.579994931749624,61.74219210354129,0.5398523938767961,POINT (-122.1104 39.1055)
229,76811,MORNING STAR PACKING COMPANY,CA,39.1264,-122.1251,221118,Other Electric Power Generation,0.0,15.260777510205463,128801.54724283348,16.170374715269233,1.2533616460956094,5.155172816139046,POINT (-122.1251 39.1264)
309,124511,"OROVILLE COGENERATION, L.P.",CA,39.492,-121.5628,221112,Fossil Fuel Electric Power Generation,0.0,0.018143694800000002,0.015603577528000002,0.00022661482969862663,8.7996647624578e-06,0.00544310844,POINT (-121.5628 39.492)
382,148911,LOS MEDANOS ENERGY CENTER,CA,38.0298,-121.8727,221112,Fossil Fuel Electric Power Generation,0.0,86.89378313616001,1397097.6516392431,0.0,6.96445724898,0.0,POINT (-121.8727 38.0298)
386,150711,DELTA ENERGY CENTER,CA,38.0169,-121.845,221112,Fossil Fuel Electric Power Generation,0.0,115.10722855016,1715489.2092518269,0.0,8.65998552804,0.0,POINT (-121.845 38.0169)
390,155111,PG&E - HUMBOLDT BAY GENERATING STATION,CA,40.7411,-124.2084,221112,Fossil Fuel Electric Power Generation,0.381335105459,30.617465937728234,256785.6274773772,4.981708781629003,1.4391624054711512,7.393767154729902,POINT (-124.2084 40.7411)
395,155811,DG FAIRHAVEN POWER COMPANY,CA,40.7998,-124.2027,221117,Biomass Electric Power Generation,0.172977087425604,5.9314861738259825,5.6511395713907495,1.031466677454779,0.10709250266243299,0.3390466525165104,POINT (-124.2027 40.7998)
