,eis facility id,site name,state,site latitude,site longitude,primary naics code,CO2,NH3,NOx,Other,PM2_5,SOx,VOC,geometry,height,diam,temp,velocity
1,17611,"MRP SAN JOAQUIN ENERGY, LLC",CA,36.2704,-119.6474,221118,4685.40080367031,0.44173250802594766,0.641243533469,1.0298715569073296,0.47051861383755406,0.042937402195673005,0.055589015002136005,POINT (-119.6474 36.2704),50.0,5.0,400.0,20.0
2,148911,LOS MEDANOS ENERGY CENTER,CA,38.0298,-121.8727,221112,1397070.2396345413,0.0,86.89378313616001,27.41200470188469,0.0,6.96445724898,0.0,POINT (-121.8727 38.0298),50.0,5.0,400.0,20.0
3,150711,DELTA ENERGY CENTER,CA,38.0169,-121.845,221112,1715453.2942456664,0.0,115.10722855016,35.91500616037461,0.0,8.65998552804,0.0,POINT (-121.845 38.0169),50.0,5.0,400.0,20.0
5,348711,FRESNO COGENERATION PARTNERS,CA,36.616828,-120.09942,221118,0.0,0.194969241329632,0.263355730022,0.4824559831151886,0.3665120174220119,0.017416833347105993,0.049547164633736006,POINT (-120.09942 36.616828),50.0,5.0,400.0,20.0
6,361111,SUNRISE POWER CO,CA,35.2097,-119.585,221112,1019313.1748392015,29.2515096964398,60.8584882829,172.95618842578392,143.7681655167835,11.9294067562208,19.3633502518456,POINT (-119.585 35.2097),50.0,5.0,400.0,20.0
7,412511,BADGER CREEK LIMITED,CA,35.483724,-119.029933,221122,7679.001317152071,0.490560148155,1.4469596603000001,1.2924707364890475,0.30857778254561724,0.051697827496854,0.24488762595897604,POINT (-119.029933 35.483724),50.0,5.0,400.0,20.0
8,456011,LIVE OAK LIMITED,CA,35.496231,-119.009053,221122,16711.602866482426,0.369994434383497,7.28197190798,1.4626092016158938,0.042926717281272446,0.0861333536715498,0.026861422636741003,POINT (-119.009053 35.496231),50.0,5.0,400.0,20.0
9,458111,BEAR MOUNTAIN LIMITED,CA,35.419205,-118.92654,221122,25120.804308883155,0.320624397570246,3.697594281766,3.0580059441635887,0.11094495219997683,0.13057017593269774,0.063234994787041,POINT (-118.92654 35.419205),50.0,5.0,400.0,20.0
32,593911,GOAL LINE LP,CA,33.11862,-117.09927,221112,0.0,0.0,1.68886591432944,6.707677526341629,4.587947896278917,0.24494477859759603,0.25578890210566,POINT (-117.09927 33.11862),50.0,5.0,400.0,20.0
45,743011,CALPINE GILROY COGEN LP & GILROY ENERGY CENTER LLC,CA,36.99943,-121.53615,221112,64004.3109784342,0.0,15.94649335972,1.386000237735743,0.0,0.31025718108000006,0.0,POINT (-121.53615 36.99943),50.0,5.0,400.0,20.0
