state,plant_count,annual_generation_mwh,NOx,SOx,PM2_5,CO2
AL,5,33762922.4,3713.921464,337.629224,337.629224,12492281.287999999
AR,8,22841888.580000002,2512.6077438,228.41888580000003,228.41888580000003,8451498.774600001
AZ,5,17983770.31,1978.2147341,179.8377031,179.8377031,6653995.014699999
CA,22,23401349.490000002,2574.1484439,234.0134949,234.0134949,8658499.3113
CO,11,25581795.419999998,2813.9974962,255.8179542,255.8179542,9465264.305399999
CT,4,6452659.11,709.7925021000001,64.5265911,64.5265911,2387483.8707
FL,11,21814513.94,2399.5965334,218.1451394,218.1451394,8071370.1578
GA,9,36598434.78,4025.8278258,365.9843478,365.9843478,13541420.8686
IA,4,10867858.16,1195.4643976000002,108.67858160000002,108.67858160000002,4021107.5192000004
ID,1,571332.77,62.84660470000001,5.713327700000001,5.713327700000001,211393.1249
IL,5,17556422.8,1931.206508,175.564228,175.564228,6495876.436
IN,6,12335763.89,1356.9340278999998,123.35763890000001,123.35763890000001,4564232.6393
KS,5,1451999.61,159.7199571,14.5199961,14.5199961,537239.8557000001
KY,6,33567675.04,3692.4442544000003,335.6767504,335.6767504,12420039.7648
LA,7,23152089.42,2546.7298362,231.52089420000001,231.52089420000001,8566273.0854
MA,4,4618009.11,507.98100210000007,46.1800911,46.1800911,1708663.3706999999
MD,7,2942952.9,323.724819,29.429529000000002,29.429529000000002,1088892.573
ME,2,677393.32,74.51326519999999,6.7739332,6.7739332,250635.5284
MI,8,17817167.95,1959.8884745,178.1716795,178.1716795,6592352.1415
MN,1,700260.11,77.0286121,7.002601100000001,7.002601100000001,259096.2407
MO,8,14278379.48,1570.6217428,142.7837948,142.7837948,5283000.4076000005
MS,6,16709050.440000001,1837.9955484000002,167.09050440000001,167.09050440000001,6182348.6628
MT,3,1397266.56,153.6993216,13.972665600000001,13.972665600000001,516988.6272
NC,5,11237804.48,1236.1584928,112.37804480000001,112.37804480000001,4157987.6576
NE,4,8526121.22,937.8733342,85.26121220000002,85.26121220000002,3154664.8514
NH,2,2447297.57,269.2027327,24.4729757,24.4729757,905500.1009
NJ,2,2654555.9,292.00114900000005,26.545559000000004,26.545559000000004,982185.683
NM,5,1154237.0899999999,126.96607990000001,11.542370900000002,11.542370900000002,427067.7233
NV,4,6603321.07,726.3653177,66.03321070000001,66.03321070000001,2443228.7959
NY,20,12815824.91,1409.7407401,128.1582491,128.1582491,4741855.2167
OH,9,43107762.7,4741.853897000001,431.07762700000006,431.07762700000006,15949872.199000001
OK,3,3014912.8299999996,331.6404113,30.149128299999997,30.149128299999997,1115517.7470999998
OR,6,16524127.92,1817.6540712,165.2412792,165.2412792,6113927.330399999
PA,25,44335243.03,4876.8767333,443.35243030000004,443.35243030000004,16404039.9211
RI,2,4884718.4,537.319024,48.847184,48.847184,1807345.808
SC,9,24919340.88,2741.1274968000002,249.19340880000004,249.19340880000004,9220156.125599999
SD,1,41610.22,4.5771242,0.41610220000000003,0.41610220000000003,15395.7814
TN,3,16858150.3,1854.3965329999999,168.581503,168.581503,6237515.611
TX,32,109900101.43,12089.0111573,1099.0010143000002,1099.0010143000002,40663037.5291
UT,7,16951217.29,1864.6339019000002,169.5121729,169.5121729,6271950.3973
VA,2,188126.28,20.6938908,1.8812628000000002,1.8812628000000002,69606.7236
WA,4,9435519.09,1037.9070999,94.3551909,94.3551909,3491142.0633
WI,14,20303361.8,2233.369798,203.03361800000002,203.03361800000002,7512243.865999999
WV,8,46997862.46,5169.7648706,469.97862460000005,469.97862460000005,17389209.1102
WY,7,16499136.62,1814.9050282,164.99136620000002,164.99136620000002,6104680.5494
