facility_id,site_name,state,latitude,longitude,annual_generation_mwh,original_fuel,new_technology,abatement_cost,NOx,SOx,PM2_5,VOC,NH3,CO2,transition,height,diam,temp,velocity
26,Plant 26,AL,33.244211,-86.458056,3724241.0,Coal,NGCC,94.49000423686414,409.66651,37.24241,37.24241,74.48482,37.24241,1377969.17,Coal to NGCC,50.0,5.0,400.0,20.0
60,Plant 60,NE,40.580872,-98.312437,1224281.29,Coal,NGCC,-590.8430677258003,134.6709419,12.2428129,12.2428129,24.4856258,12.2428129,452984.0773,Coal to NGCC,50.0,5.0,400.0,20.0
118,Plant 118,AZ,32.5517,-111.3,129391.26,Gas,NGCC,-914.4858604528832,14.2330386,1.2939126,1.2939126,2.5878252,1.2939126,47874.7662,Gas to NGCC,50.0,5.0,400.0,20.0
130,Plant 130,SC,33.371506,-80.113235,9164494.42,Coal,NGCC,-714.6238342080339,1008.0943862,91.64494420000001,91.64494420000001,183.28988840000002,91.64494420000001,3390862.9354,Coal to NGCC,50.0,5.0,400.0,20.0
201,Plant 201,AR,35.462382,-93.804926,411773.43,Gas,NGCC,-367.88186713217516,45.2950773,4.1177343,4.1177343,8.2354686,4.1177343,152356.1691,Gas to NGCC,50.0,5.0,400.0,20.0
341,Plant 341,CA,33.7641,-118.2248,7802.16,Gas,NGCC,50.92491349639007,0.8582376,0.07802160000000001,0.07802160000000001,0.15604320000000002,0.07802160000000001,2886.7992,Gas to NGCC,50.0,5.0,400.0,20.0
377,Plant 377,CA,34.1556,-118.2782,34333.02,Gas,NGCC,-217.91880455767384,3.7766322,0.3433302,0.3433302,0.6866604,0.3433302,12703.2174,Gas to NGCC,50.0,5.0,400.0,20.0
470,Plant 470,CO,38.2081,-104.5747,7198606.13,Coal,NGCC,-253.8411947098249,791.8466743,71.9860613,71.9860613,143.9721226,71.9860613,2663484.2681,Coal to NGCC,50.0,5.0,400.0,20.0
525,Plant 525,CO,40.4856,-107.185,2726468.64,Coal,NGCC,68.46408696834276,299.9115504,27.264686400000002,27.264686400000002,54.529372800000004,27.264686400000002,1008793.3968,Coal to NGCC,50.0,5.0,400.0,20.0
533,Plant 533,AL,31.400255,-86.476449,2534440.26,Gas,NGCC,-602.1857535938125,278.7884286,25.3444026,25.3444026,50.6888052,25.3444026,937742.8962,Gas to NGCC,50.0,5.0,400.0,20.0
544,Plant 544,CT,41.209797,-73.108976,9372.29,Oil,NGCC,91.87142538387516,1.0309519,0.09372290000000001,0.09372290000000001,0.18744580000000002,0.09372290000000001,3467.7473000000005,Oil to NGCC,50.0,5.0,400.0,20.0
546,Plant 546,CT,41.4281,-72.1019,40657.71,Oil,NGCC,104.12640245153862,4.4723481000000005,0.4065771,0.4065771,0.8131542,0.4065771,15043.3527,Oil to NGCC,50.0,5.0,400.0,20.0
602,Plant 602,MD,39.182073,-76.537151,1266698.26,Coal,NGCC,69.0570161624528,139.3368086,12.6669826,12.6669826,25.3339652,12.6669826,468678.3562,Coal to NGCC,50.0,5.0,400.0,20.0
643,Plant 643,FL,30.2686,-85.7003,4271967.21,Gas,NGCC,22.78972205782687,469.9163931,42.719672100000004,42.719672100000004,85.43934420000001,42.719672100000004,1580627.8677,Gas to NGCC,50.0,5.0,400.0,20.0
664,Plant 664,FL,29.6461,-82.3208,749021.72,Gas,NGCC,20.62706114541637,82.3923892,7.4902172,7.4902172,14.9804344,7.4902172,277138.0364,Gas to NGCC,50.0,5.0,400.0,20.0
667,Plant 667,FL,30.4172,-81.5525,3550978.76,Gas,NGCC,94.70052450287123,390.60766359999997,35.5097876,35.5097876,71.0195752,35.5097876,1313862.1412,Gas to NGCC,50.0,5.0,400.0,20.0
676,Plant 676,FL,28.0801,-81.9229,1164203.41,Gas,NGCC,-558.9971927735035,128.0623751,11.6420341,11.6420341,23.2840682,11.6420341,430755.2617,Gas to NGCC,50.0,5.0,400.0,20.0
