State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Technology,Technology_alt,Operating Year,Age,Total Capital Cost (2024$/kW),Total Nameplate Capacity (MW),Fuel Category,Energy Source,Latitude,Longitude,wind_cf,pvout,Wind Size (MW),Solar Size (MW),NGCC Size (MW),Wind Capital Cost ($),Solar Capital Cost ($),NGCC Capital Cost ($),Existing Capital Cost ($),Remaining Capital Cost ($),Fixed O&M - Wind ($/year),Fixed O&M - Solar ($/year),Fixed O&M - NGCC ($/year),Variable O&M - Wind ($/year),Variable O&M - Solar ($/year),Variable O&M - NGCC ($/year),Fixed O&M - Existing ($/year),Variable O&M - Existing ($/year),Fuel costs ($/MWh),NGCC Fuel Cost ($/year),Existing Fuel Cost ($/year),Annualized Capital - Wind ($),Annualized Capital - Solar ($),Annualized Capital - NGCC ($),Annualized Capital - Existing ($),Old Emissions (tonnes CO2),New Emissions (tonnes CO2),Delta Emissions (tonnes CO2),Net Capital Cost - Wind ($/year),Net Fixed O&M - Wind ($/year),Net Variable O&M - Wind ($/year),Net Fuel Cost - Wind ($/year),Net Capital Cost - Solar ($/year),Net Fixed O&M - Solar ($/year),Net Variable O&M - Solar ($/year),Net Fuel Cost - Solar ($/year),Net Capital Cost - NGCC ($/year),Net Fixed O&M - NGCC ($/year),Net Variable O&M - NGCC ($/year),Net Fuel Cost - NGCC ($/year),Total Cost - Wind ($/year),Total Cost - Solar ($/year),Total Cost - NGCC ($/year),MACC - Wind ($/tonne CO2),MACC - Solar ($/tonne CO2),MACC - NGCC ($/tonne CO2)
AL,3,9909175.25,280.447,5492459.55,1325.482,78038481.45,Conventional Steam Coal,Coal,1971.0,53.0,18365.55948686083,3343.4999999999995,Coal,BIT,31.0069,-88.0103,0.17066957,1559.983,6627.920794122853,6352.1045070962355,1917.2616767278075,13905377826.069746,9197847326.275349,2254699731.8319016,61405248144.31918,0.0,196451572.33780137,109002113.34177141,26324002.821472798,0.0,0.0,20809268.025000002,0.0,0.0,0.0,220925062.19875002,0.0,1010210562.921806,668213596.3055452,163801481.254489,0.0,4982675.269128884,3339755.7259816746,1642919.5431472096,1010210562.921806,196451572.33780137,0.0,0.0,668213596.3055452,109002113.34177141,0.0,0.0,163801481.254489,26324002.821472798,20809268.025000002,220925062.19875002,1206662135.2596073,777215709.6473166,431859814.2997118,242.17153839739726,155.98361676561683,262.86120711208565
AL,10,1486496.0,4.784,877874.75,1128.351,14636558.775,Natural Gas Steam Turbine,Oil/Gas steam,1965.0,59.0,11012.762448740481,1288.4,Gas,NG,32.6017,-87.7811,0.22265717,1548.295,762.1192904929972,960.0857445181518,287.612413899853,1598926271.454308,1390204158.062284,338232198.74622715,14188843138.957235,0.0,22589215.770212438,16475071.375931486,3948918.442844982,0.0,0.0,3121641.6,0.0,0.0,0.0,33141428.32,0.0,116160253.17399523,100996818.83216247,24572201.06979871,0.0,796394.541716325,501003.7064032,295390.835313125,116160253.17399523,22589215.770212438,0.0,0.0,100996818.83216247,16475071.375931486,0.0,0.0,24572201.06979871,3948918.442844982,3121641.6,33141428.32,138749468.94420767,117471890.20809396,64784189.4326437,174.22202397970491,147.50464004302196,219.3168564758284
AL,26,3724241.0,847.64,3277111.004,2318.763,39268998.175,Conventional Steam Coal,Coal,1974.0,50.0,11618.89338019918,2034.0,Coal,BIT,33.244211,-86.458056,0.20900571,1537.702,2034.1150862167538,2421.9523263544747,720.5790960451978,4267573450.8827496,3506986968.5612793,847401016.9491526,23632829135.325134,0.0,60291171.15546458,41560701.92024279,9893550.988700567,0.0,0.0,7820906.100000001,0.0,0.0,0.0,83031953.095,0.0,310034565.9104562,254778785.87575734,61562761.47691498,0.0,2972944.963030439,1255205.8966446999,1717739.066385739,310034565.9104562,60291171.15546458,0.0,0.0,254778785.87575734,41560701.92024279,0.0,0.0,61562761.47691498,9893550.988700567,7820906.100000001,83031953.095,370325737.06592077,296339487.7960001,162309171.66061553,124.56528515362534,99.67876683930594,94.49000423686414
AL,47,57840.42,3.888,37420.817,61.766,625437.879,Natural Gas Fired Combustion Turbine,Combustion turbine,2023.0,1.0,10176.740269829526,1169.6,Gas,NG,34.7439,-87.8486,0.26394117,1500.082,25.016132824762632,38.558171350004294,11.191165544462503,52483846.666352004,55832232.11480622,13160810.680287903,11902715419.592613,64493529194.461044,741478.1769259644,661658.2203660738,153654.70292547016,0.0,0.0,121464.882,0.0,0.0,0.0,1289552.1639,0.0,3812894.331121016,4056150.8892003284,956118.5702495038,4685384694.129176,33947.5926438999,19494.344283413997,14453.248360485904,-4681571799.798055,741478.1769259644,0.0,0.0,-4681328543.239976,661658.2203660738,0.0,0.0,-4684428575.558927,153654.70292547016,121464.882,1289552.1639,-4680830321.621129,-4680666885.019609,-4682863903.810101,-137884.013476939,-137879.1990972204,-324000.791172502
KY,54,416889.2,1.58,306604.2,88.769,5157543.199,Natural Gas Fired Combustion Turbine,Combustion turbine,1999.0,25.0,6315.14860598998,1055.0,Gas,NG,37.8833,-84.1017,0.2608638,1405.847,182.43270685479683,296.5395141784985,80.66117173593376,382743818.9813637,429389216.5304659,94857537.9614581,6662481779.319428,8915903527.37922,5407305.431176178,5088618.063303035,1107477.8879343707,0.0,0.0,875467.3200000001,0.0,0.0,0.0,9294544.714,0.0,27805921.828539744,31194659.18650253,6891296.879525763,647730686.2143726,278146.63919574,140506.96023363998,137639.6789621,-619924764.3858329,5407305.431176178,0.0,0.0,-616536027.02787,5088618.063303035,0.0,0.0,-640839389.3348469,1107477.8879343707,875467.3200000001,9294544.714,-614517458.9546567,-611447408.9645671,-629561899.4129125,-2209.329081708597,-2198.2915584835578,-4573.985526268675
AL,56,1753729.47,3.261,646064.636,86.62,10871305.052,Natural Gas Fired Combined Cycle,Combined cycle,2023.0,1.0,2418.5876317249026,732.7,Gas,NG,31.488019,-87.910747,0.19005698,1561.809,1053.3547626684763,1122.8834735612365,339.3176747155793,2209938292.078463,1625935269.7166708,399037585.4655213,1772099157.7648363,9601920632.216375,31221435.165493634,19268680.40631082,4658831.673844904,0.0,0.0,3682831.887,0.0,0.0,0.0,39099398.533649996,0.0,160549611.37967435,118122427.49819244,28989646.227686804,697569082.1443455,586099.9529902692,591071.193261549,-4971.240271279821,-537019470.7646712,31221435.165493634,0.0,0.0,-579446654.6461531,19268680.40631082,0.0,0.0,-668579435.9166588,4658831.673844904,3682831.887,39099398.533649996,-505798035.5991776,-560177974.2398423,-621138373.8221638,-862.9893809385362,-955.7720852592232,124946.35944487447
NE,59,405362.95,353.457,487057.496,399.189,4643955.627,Conventional Steam Coal,Coal,1982.0,42.0,3293.5881663737555,109.8,Coal,SUB,40.854765,-98.348222,0.41150495,1576.784,112.45140129221474,257.08209570090304,78.43103281479762,235923039.91106653,372254874.5749076,92234894.590202,361635980.66783834,0.0,3333059.534301245,4411528.762227496,1076858.0805471714,0.0,0.0,851262.1950000001,0.0,0.0,0.0,9037566.97025,0.0,17139552.044961948,27043911.43473109,6700764.693377419,0.0,441851.10839151114,136622.190970265,305228.9174212462,17139552.044961948,3333059.534301245,0.0,0.0,27043911.43473109,4411528.762227496,0.0,0.0,6700764.693377419,1076858.0805471714,851262.1950000001,9037566.97025,20472611.57926319,31455440.196958587,17666451.939174592,46.33373367284397,71.190135318359,57.87935195797041
NE,60,1224281.29,2125.891,1200502.188,967.595,11446456.991,Conventional Steam Coal,Coal,2011.0,13.0,7140.900869956817,324.3,Coal,SUB,40.580872,-98.312437,0.45317397,1586.281,308.39842567890895,771.7934498854697,236.87820021670152,647019897.074351,1117556915.4341602,278568763.45484096,2315794152.126996,6235907470.285507,9140929.337122861,13243975.600034662,3252337.688975312,0.0,0.0,2570990.7090000003,0.0,0.0,0.0,27295351.36055,0.0,47005291.234853975,81189293.43446648,20237717.440122638,453031889.868896,1089077.2172701235,412627.725853343,676449.4914167805,-406026598.634042,9140929.337122861,0.0,0.0,-371842596.4344295,13243975.600034662,0.0,0.0,-432794172.42877334,3252337.688975312,2570990.7090000003,27295351.36055,-396885669.29691917,-358598620.8343949,-399675492.67024803,-364.42381036282364,-329.2683155499816,-590.8430677258003
KS,108,1747062.29,1166.489,1773082.229,1629.74,16905792.226,Conventional Steam Coal,Coal,1983.0,41.0,3293.5881663737555,348.7,Coal,SUB,37.9308,-100.9725,0.43814236,1717.771,455.18616537098734,1017.0519201761231,338.027685550654,954980574.9483314,1472691180.4150262,397520558.20756906,1148474193.6145284,0.0,13491717.941596065,17452610.950222272,4641120.122610479,0.0,0.0,3668830.8090000004,0.0,0.0,0.0,38950753.755550005,0.0,69378299.26413572,106989411.21814439,28879435.848695844,0.0,1608513.0699906962,588824.1089160431,1019688.9610746531,69378299.26413572,13491717.941596065,0.0,0.0,106989411.21814439,17452610.950222272,0.0,0.0,28879435.848695844,4641120.122610479,3668830.8090000004,38950753.755550005,82870017.20573178,124442022.16836666,76140140.53585634,51.51964180571508,77.36463227438148,74.66996647253298
AZ,113,1987350.31,918.513,2272264.575,1982.254,22146886.998,Conventional Steam Coal,Coal,1980.0,44.0,6587.176332747511,425.9,Coal,SUB,34.9394,-110.3033,0.14044663,1906.97,1615.3215626111253,1042.1508154463688,384.5194470242242,3388944638.3581405,1509034380.766342,452194869.7004876,2805478400.117165,0.0,47878131.11579375,17883307.993059687,5279452.007642598,0.0,0.0,4173435.651,0.0,0.0,0.0,44307975.16145,0.0,246203139.07675058,109629705.16373217,32851465.065124154,0.0,2061363.6567920025,669809.9902263769,1391553.6665656255,246203139.07675058,47878131.11579375,0.0,0.0,109629705.16373217,17883307.993059687,0.0,0.0,32851465.065124154,5279452.007642598,4173435.651,44307975.16145,294081270.19254434,127513013.15679187,86612327.88521674,142.6634593190647,61.858572472959,62.24145713257126
