facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
55418,-892.1752629662052,112348.4470788727,Gas to NGCC,Gas,NGCC,714.8,2225320.73,112348.4470788727,0.0
55627,-890.2136958024788,3680.710044994299,Gas to NGCC,Gas,NGCC,47.0,16252.72,116029.157123867,112348.4470788727
55512,-885.132986196236,3139.0318178799,Gas to NGCC,Gas,NGCC,48.7,12556.59,119168.1889417469,116029.157123867
7988,-882.7459090066266,59918.15775579582,Gas to NGCC,Gas,NGCC,250.5,213032.11,179086.34669754273,119168.1889417469
8000,-879.2942741725275,77769.78316205528,Gas to NGCC,Gas,NGCC,247.1,596118.49,256856.129859598,179086.34669754273
55299,-873.0792640452968,156016.92123152642,Gas to NGCC,Gas,NGCC,923.8,5665685.49,412873.0510911244,256856.129859598
56,-856.2803376211576,586099.9529902692,Gas to Solar,Gas,Solar,732.7,1753729.47,998973.0040813936,412873.0510911244
58427,-853.1471915437183,65723.88577563348,Gas to NGCC,Gas,NGCC,98.0,491721.26,1064696.889857027,998973.0040813935
7975,-845.4867055517192,59584.60520316922,Gas to NGCC,Gas,NGCC,186.0,291469.85,1124281.4950601961,1064696.889857027
55182,-843.1790997275175,99215.18445519847,Gas to NGCC,Gas,NGCC,685.2,2916903.62,1223496.6795153946,1124281.4950601961
55086,-827.7008808715233,120143.41458429758,Gas to NGCC,Gas,NGCC,432.0,372717.37,1343640.0940996923,1223496.6795153946
7848,-821.2729155746902,69800.68299035438,Gas to NGCC,Gas,NGCC,321.29999999999995,195009.25,1413440.7770900468,1343640.0940996923
7910,-800.9692308765452,12056.526320109599,Gas to NGCC,Gas,NGCC,94.0,58593.18,1425497.3034101564,1413440.7770900468
58284,-796.8122397623155,12460.862042685203,Gas to NGCC,Gas,NGCC,42.3,70512.65,1437958.1654528417,1425497.3034101564
55972,-790.0348696426296,62238.873412300774,Gas to NGCC,Gas,NGCC,345.0,214113.45,1500197.0388651425,1437958.1654528417
6195,-788.627778887116,1176491.8214824195,Coal to NGCC,Coal,NGCC,603.0,2159559.12,2676688.860347562,1500197.0388651425
55440,-765.0535231378507,258628.68042876245,Gas to NGCC,Gas,NGCC,927.1,4918503.25,2935317.5407763245,2676688.860347562
55841,-763.4866995499937,162623.77322612226,Gas to NGCC,Gas,NGCC,664.7,2521018.12,3097941.314002447,2935317.5407763245
55365,-748.7428328582847,70796.24279489898,Gas to NGCC,Gas,NGCC,236.0,190541.33,3168737.5567973456,3097941.314002447
7527,-738.8347982163507,25626.0486934496,Gas to NGCC,Gas,NGCC,125.5,156613.13,3194363.6054907953,3168737.5567973456
55620,-735.8126233986537,134452.70625718823,Gas to NGCC,Gas,NGCC,824.1,4248996.55,3328816.3117479836,3194363.6054907953
57978,-735.4553160371137,174482.31205428558,Gas to NGCC,Gas,NGCC,288.9,746207.24,3503298.6238022693,3328816.3117479836
55297,-734.359163125433,738739.999863131,Gas to NGCC,Gas,NGCC,1176.0,6553330.13,4242038.6236654,3503298.623802269
56400,-734.236315602513,85068.06740980758,Gas to NGCC,Gas,NGCC,411.4,1870356.18,4327106.691075208,4242038.6236654
55662,-734.082847932268,131862.61925020022,Gas to NGCC,Gas,NGCC,593.3,2318715.71,4458969.310325408,4327106.691075208
55656,-717.1660442613806,447812.7379960022,Gas to NGCC,Gas,NGCC,779.0,4007426.84,4906782.048321411,4458969.310325408
56013,-715.105589872501,52465.50009734626,Gas to NGCC,Gas,NGCC,181.5,234466.4,4959247.5484187575,4906782.048321411
130,-714.6238342080339,5355137.876120424,Coal to NGCC,Coal,NGCC,2390.1,9164494.42,10314385.424539182,4959247.548418758
55821,-708.7450632123886,99373.20489081368,Gas to NGCC,Gas,NGCC,688.3,3650650.6,10413758.629429996,10314385.424539182
4937,-707.7375974765482,525346.0939540385,Gas to NGCC,Gas,NGCC,574.6,2462503.78,10939104.723384034,10413758.629429996
56474,-704.5564743786013,5694.604142289201,Gas to NGCC,Gas,NGCC,49.8,21967.25,10944799.327526323,10939104.723384034
55382,-704.431500426017,372657.38673897646,Gas to NGCC,Gas,NGCC,1192.0,9069142.34,11317456.7142653,10944799.327526323
55139,-698.6758643834617,175373.19785002898,Gas to NGCC,Gas,NGCC,788.4000000000001,3221166.35,11492829.912115328,11317456.714265298
55068,-688.4486284693071,176426.29079374872,Gas to NGCC,Gas,NGCC,550.2,593806.99,11669256.202909077,11492829.912115328
56102,-681.6963404802655,148839.00731500203,Gas to NGCC,Gas,NGCC,566.9,2942204.85,11818095.210224079,11669256.202909077
55386,-681.376584258091,182619.80348713906,Gas to NGCC,Gas,NGCC,668.5,2545481.47,12000715.013711218,11818095.210224079
55218,-679.6231253339271,151550.796081268,Gas to NGCC,Gas,NGCC,600.4,3300395.67,12152265.809792485,12000715.013711218
7826,-677.4551134307525,674126.74258247,Gas to NGCC,Gas,NGCC,1192.0,2967899.75,12826392.552374955,12152265.809792485
7991,-673.8218217948881,68081.56842536287,Gas to NGCC,Gas,NGCC,169.3,430853.35,12894474.120800318,12826392.552374955
55062,-673.682465832135,221839.9865578697,Gas to NGCC,Gas,NGCC,939.6999999999999,4269599.22,13116314.107358187,12894474.120800318
55801,-669.901566456272,191915.14859243203,Gas to NGCC,Gas,NGCC,836.0999999999999,6056226.32,13308229.255950619,13116314.107358187
55406,-669.350496022325,129687.23646572838,Gas to NGCC,Gas,NGCC,596.6,2573233.47,13437916.492416346,13308229.255950619
55063,-667.4869128093384,411266.88427616097,Gas to NGCC,Gas,NGCC,891.0,4650829.66,13849183.376692507,13437916.492416346
55334,-665.3032343822233,121966.14264014224,Gas to NGCC,Gas,NGCC,702.1,2582947.5,13971149.51933265,13849183.376692507
7759,-659.8990242262989,111102.8395338684,Gas to NGCC,Gas,NGCC,340.0,340512.57,14082252.358866518,13971149.51933265
55077,-641.0377350586537,109669.38470043452,Gas to NGCC,Gas,NGCC,537.3,1688385.07,14191921.743566953,14082252.358866518
