State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Technology,Technology_alt,Operating Year,Age,Total Capital Cost (2024$/kW),Total Nameplate Capacity (MW),Fuel Category,Energy Source,Latitude,Longitude,wind_cf,pvout,Wind Size (MW),Solar Size (MW),NGCC-CCS Size (MW),Wind Capital Cost ($),Solar Capital Cost ($),NGCC-CCS Capital Cost ($),Existing Capital Cost ($),Remaining Capital Cost ($),Fixed O&M - Wind ($/year),Fixed O&M - Solar ($/year),Fixed O&M - NGCC-CCS ($/year),Variable O&M - Wind ($/year),Variable O&M - Solar ($/year),Variable O&M - NGCC-CCS ($/year),Fixed O&M - Existing ($/year),Variable O&M - Existing ($/year),Fuel costs ($/MWh),NGCC-CCS Fuel Cost ($/year),Existing Fuel Cost ($/year),Annualized Capital - Wind ($),Annualized Capital - Solar ($),Annualized Capital - NGCC-CCS ($),Annualized Capital - Existing ($),Old Emissions (tonnes CO2),New Emissions (tonnes CO2),Delta Emissions (tonnes CO2),Net Capital Cost - Wind ($/year),Net Fixed O&M - Wind ($/year),Net Variable O&M - Wind ($/year),Net Fuel Cost - Wind ($/year),Net Capital Cost - Solar ($/year),Net Fixed O&M - Solar ($/year),Net Variable O&M - Solar ($/year),Net Fuel Cost - Solar ($/year),Net Capital Cost - NGCC-CCS ($/year),Net Fixed O&M - NGCC-CCS ($/year),Net Variable O&M - NGCC-CCS ($/year),Net Fuel Cost - NGCC-CCS ($/year),Total Cost - Wind ($/year),Total Cost - Solar ($/year),Total Cost - NGCC-CCS ($/year),MACC - Wind ($/tonne CO2),MACC - Solar ($/tonne CO2),MACC - NGCC-CCS ($/tonne CO2)
AL,3,9909175.25,280.447,5492459.55,1325.482,78038481.45,Conventional Steam Coal,Coal,1971.0,53.0,18365.55948686083,3343.4999999999995,Coal,BIT,31.0069,-88.0103,0.17066957,1559.983,6627.920794122853,6352.1045070962355,2056.698889580739,13905377826.069746,9197847326.275349,6458034513.283521,61405248144.31918,0.0,196451572.33780137,109002113.34177141,63881067.51037775,0.0,0.0,65103281.392500006,0.0,0.0,0.0,247075375.68350002,0.0,1010210562.921806,668213596.3055452,469169177.7552046,0.0,4982675.269128884,373507.3750689709,4609167.894059913,1010210562.921806,196451572.33780137,0.0,0.0,668213596.3055452,109002113.34177141,0.0,0.0,469169177.7552046,63881067.51037775,65103281.392500006,247075375.68350002,1206662135.2596073,777215709.6473166,845228902.3415824,242.17153839739726,155.98361676561683,183.37993359514527
AL,10,1486496.0,4.784,877874.75,1128.351,14636558.775,Natural Gas Steam Turbine,Oil/Gas steam,1965.0,59.0,11012.762448740481,1288.4,Gas,NG,32.6017,-87.7811,0.22265717,1548.295,762.1192904929972,960.0857445181518,308.5296803652968,1598926271.454308,1390204158.062284,968783196.3470321,14188843138.957235,0.0,22589215.770212438,16475071.375931486,9582931.87214612,0.0,0.0,9766278.72,0.0,0.0,0.0,37064291.264,0.0,116160253.17399523,100996818.83216247,70381044.68446057,0.0,796394.541716325,56030.61859366399,740363.923122661,116160253.17399523,22589215.770212438,0.0,0.0,100996818.83216247,16475071.375931486,0.0,0.0,70381044.68446057,9582931.87214612,9766278.72,37064291.264,138749468.94420767,117471890.20809396,126794546.54060668,174.22202397970491,147.50464004302196,171.25975831699162
AL,26,3724241.0,847.64,3277111.004,2318.763,39268998.175,Conventional Steam Coal,Coal,1974.0,50.0,11618.89338019918,2034.0,Coal,BIT,33.244211,-86.458056,0.20900571,1537.702,2034.1150862167538,2421.9523263544747,772.9848484848485,4267573450.8827496,3506986968.5612793,2427172424.2424245,23632829135.325134,0.0,60291171.15546458,41560701.92024279,24008909.393939395,0.0,0.0,24468263.37,0.0,0.0,0.0,92860225.094,0.0,310034565.9104562,254778785.87575734,176331434.6198712,0.0,2972944.963030439,140378.12884924398,2832566.834181195,310034565.9104562,60291171.15546458,0.0,0.0,254778785.87575734,41560701.92024279,0.0,0.0,176331434.6198712,24008909.393939395,24468263.37,92860225.094,370325737.06592077,296339487.7960001,317668832.4778106,124.56528515362534,99.67876683930594,112.14875096482535
AL,47,57840.42,3.888,37420.817,61.766,625437.879,Natural Gas Fired Combustion Turbine,Combustion turbine,2023.0,1.0,10176.740269829526,1169.6,Gas,NG,34.7439,-87.8486,0.26394117,1500.082,25.016132824762632,38.558171350004294,12.005068493150684,52483846.666352004,55832232.11480622,37695915.06849315,11902715419.592613,64493529194.461044,741478.1769259644,661658.2203660738,372877.4273972602,0.0,0.0,380011.5594,0.0,0.0,0.0,1442193.0322800002,0.0,3812894.331121016,4056150.8892003284,2738567.1973472955,4685384694.129176,33947.5926438999,2180.183809655279,31767.408834244623,-4681571799.798055,741478.1769259644,0.0,0.0,-4681328543.239976,661658.2203660738,0.0,0.0,-4682646126.9318285,372877.4273972602,380011.5594,1442193.0322800002,-4680830321.621129,-4680666885.019609,-4680451044.912751,-137884.013476939,-137879.1990972204,-147334.99572893462
KY,54,416889.2,1.58,306604.2,88.769,5157543.199,Natural Gas Fired Combustion Turbine,Combustion turbine,1999.0,25.0,6315.14860598998,1055.0,Gas,NG,37.8833,-84.1017,0.2608638,1405.847,182.43270685479683,296.5395141784985,86.52743877127439,382743818.9813637,429389216.5304659,271696157.7418016,6662481779.319428,8915903527.37922,5407305.431176178,5088618.063303035,2687542.2482357826,0.0,0.0,2738962.044,0.0,0.0,0.0,10394715.312800001,0.0,27805921.828539744,31194659.18650253,19738430.11597005,647730686.2143726,278146.63919574,15713.839634292795,262432.7995614472,-619924764.3858329,5407305.431176178,0.0,0.0,-616536027.02787,5088618.063303035,0.0,0.0,-627992256.0984026,2687542.2482357826,2738962.044,10394715.312800001,-614517458.9546567,-611447408.9645671,-612171036.4933667,-2209.329081708597,-2198.2915584835578,-2332.677308310428
AL,56,1753729.47,3.261,646064.636,86.62,10871305.052,Natural Gas Fired Combined Cycle,Combined cycle,2023.0,1.0,2418.5876317249026,732.7,Gas,NG,31.488019,-87.910747,0.19005698,1561.809,1053.3547626684763,1122.8834735612365,363.99532378580324,2209938292.078463,1625935269.7166708,1142945316.687422,1772099157.7648363,9601920632.216375,31221435.165493634,19268680.40631082,11305694.756787047,0.0,0.0,11522002.6179,0.0,0.0,0.0,43727490.60498,0.0,160549611.37967435,118122427.49819244,83033733.1499885,697569082.1443455,586099.9529902692,66103.47222598546,519996.4807642837,-537019470.7646712,31221435.165493634,0.0,0.0,-579446654.6461531,19268680.40631082,0.0,0.0,-614535348.994357,11305694.756787047,11522002.6179,43727490.60498,-505798035.5991776,-560177974.2398423,-547980161.0146899,-862.9893809385362,-955.7720852592232,-1053.8151339202839
NE,59,405362.95,353.457,487057.496,399.189,4643955.627,Conventional Steam Coal,Coal,1982.0,42.0,3293.5881663737555,109.8,Coal,SUB,40.854765,-98.348222,0.41150495,1576.784,112.45140129221474,257.08209570090304,84.13510792860109,235923039.91106653,372254874.5749076,264184238.89580745,361635980.66783834,0.0,3333059.534301245,4411528.762227496,2613236.45226235,0.0,0.0,2663234.5815000003,0.0,0.0,0.0,10107319.7953,0.0,17139552.044961948,27043911.43473109,19192697.388607003,0.0,441851.10839151114,15279.379724837796,426571.72866667336,17139552.044961948,3333059.534301245,0.0,0.0,27043911.43473109,4411528.762227496,0.0,0.0,19192697.388607003,2613236.45226235,2663234.5815000003,10107319.7953,20472611.57926319,31455440.196958587,34576488.21766935,46.33373367284397,71.190135318359,81.05668025807614
NE,60,1224281.29,2125.891,1200502.188,967.595,11446456.991,Conventional Steam Coal,Coal,2011.0,13.0,7140.900869956817,324.3,Coal,SUB,40.580872,-98.312437,0.45317397,1586.281,308.39842567890895,771.7934498854697,254.10570568700706,647019897.074351,1117556915.4341602,797891915.8572022,2315794152.126996,6235907470.285507,9140929.337122861,13243975.600034662,7892523.218638439,0.0,0.0,8043528.075300001,0.0,0.0,0.0,30526229.684860006,0.0,47005291.234853975,81189293.43446648,57965979.17373408,453031889.868896,1089077.2172701235,46146.937503598354,1042930.2797665251,-406026598.634042,9140929.337122861,0.0,0.0,-371842596.4344295,13243975.600034662,0.0,0.0,-395065910.69516194,7892523.218638439,8043528.075300001,30526229.684860006,-396885669.29691917,-358598620.8343949,-348603629.71636355,-364.42381036282364,-329.2683155499816,-334.25401149001397
KS,108,1747062.29,1166.489,1773082.229,1629.74,16905792.226,Conventional Steam Coal,Coal,1983.0,41.0,3293.5881663737555,348.7,Coal,SUB,37.9308,-100.9725,0.43814236,1717.771,455.18616537098734,1017.0519201761231,362.6115172270652,954980574.9483314,1472691180.4150262,1138600164.0929847,1148474193.6145284,0.0,13491717.941596065,17452610.950222272,11262713.725072643,0.0,0.0,11478199.2453,0.0,0.0,0.0,43561251.13886001,0.0,69378299.26413572,106989411.21814439,82718062.54374447,0.0,1608513.0699906962,65852.16565020235,1542660.9043404937,69378299.26413572,13491717.941596065,0.0,0.0,106989411.21814439,17452610.950222272,0.0,0.0,82718062.54374447,11262713.725072643,11478199.2453,43561251.13886001,82870017.20573178,124442022.16836666,149020226.6529771,51.51964180571508,77.36463227438148,96.59947058597758
AZ,113,1987350.31,918.513,2272264.575,1982.254,22146886.998,Conventional Steam Coal,Coal,1980.0,44.0,6587.176332747511,425.9,Coal,SUB,34.9394,-110.3033,0.14044663,1906.97,1615.3215626111253,1042.1508154463688,412.48449771689496,3388944638.3581405,1509034380.766342,1295201322.8310502,2805478400.117165,0.0,47878131.11579375,17883307.993059687,12811768.499086756,0.0,0.0,13056891.536700001,0.0,0.0,0.0,49552592.629540004,0.0,246203139.07675058,109629705.16373217,94094966.26414502,0.0,2061363.6567920025,74909.36217225602,1986454.2946197465,246203139.07675058,47878131.11579375,0.0,0.0,109629705.16373217,17883307.993059687,0.0,0.0,94094966.26414502,12811768.499086756,13056891.536700001,49552592.629540004,294081270.19254434,127513013.15679187,169516218.92947176,142.6634593190647,61.858572472959,85.33607815120715
