facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
55226,-996.0689675289585,234184.42839115625,Gas to NGCC,Gas,NGCC,1036.0,7765041.24,234184.42839115625,0.0
56041,-993.7428432138503,35402.8174782172,Gas to NGCC,Gas,NGCC,130.0,331859.8,269587.24586937344,234184.42839115625
56908,-987.8194457232572,137088.36263375962,Gas to NGCC,Gas,NGCC,203.10000000000002,564568.26,406675.60850313306,269587.24586937344
55706,-986.9124050576957,172265.62108855555,Gas to NGCC,Gas,NGCC,899.0,5270930.82,578941.2295916886,406675.60850313306
1556,-978.9892181342099,66271.09821133429,Gas to NGCC,Gas,NGCC,492.3,256047.38,645212.3278030229,578941.2295916886
3559,-978.1114263312811,43896.5474972666,Gas to NGCC,Gas,NGCC,142.5,117878.87,689108.8753002895,645212.3278030229
58503,-960.6256532747295,185467.03296803334,Gas to NGCC,Gas,NGCC,500.0,3171245.42,874575.9082683228,689108.8753002895
56,-955.7720852592232,586099.9529902692,Gas to Solar,Gas,Solar,732.7,1753729.47,1460675.861258592,874575.9082683228
55333,-952.9529905633433,165701.3666867204,Gas to NGCC,Gas,NGCC,943.5,4340912.9,1626377.2279453124,1460675.861258592
55031,-950.4954804710188,28432.592099570695,Gas to NGCC,Gas,NGCC,163.5,83586.33,1654809.820044883,1626377.2279453124
7515,-945.6863475958584,6695.200007080798,Gas to NGCC,Gas,NGCC,115.6,13237.53,1661505.0200519639,1654809.820044883
55503,-936.327330608476,178320.7916796927,Gas to NGCC,Gas,NGCC,921.5999999999999,5571359.4,1839825.8117316565,1661505.0200519639
55348,-927.1073195780302,195320.93180365668,Gas to NGCC,Gas,NGCC,795.6,831564.74,2035146.7435353133,1839825.8117316565
118,-914.4858604528832,43172.70298399142,Gas to NGCC,Gas,NGCC,184.5,129391.26,2078319.4465193048,2035146.7435353133
963,-904.960371719192,485625.4577352189,Coal to NGCC,Coal,NGCC,437.4,766988.95,2563944.9042545236,2078319.4465193045
55418,-892.1752629662052,112348.4470788727,Gas to NGCC,Gas,NGCC,714.8,2225320.73,2676293.3513333965,2563944.904254524
55627,-890.2136958024788,3680.710044994299,Gas to NGCC,Gas,NGCC,47.0,16252.72,2679974.061378391,2676293.3513333965
55512,-885.132986196236,3139.0318178799,Gas to NGCC,Gas,NGCC,48.7,12556.59,2683113.093196271,2679974.061378391
7988,-882.7459090066266,59918.15775579582,Gas to NGCC,Gas,NGCC,250.5,213032.11,2743031.250952067,2683113.093196271
8000,-879.2942741725275,77769.78316205528,Gas to NGCC,Gas,NGCC,247.1,596118.49,2820801.034114122,2743031.250952067
55299,-873.0792640452968,156016.92123152642,Gas to NGCC,Gas,NGCC,923.8,5665685.49,2976817.9553456483,2820801.034114122
58427,-853.1471915437183,65723.88577563348,Gas to NGCC,Gas,NGCC,98.0,491721.26,3042541.841121282,2976817.9553456483
7975,-845.4867055517192,59584.60520316922,Gas to NGCC,Gas,NGCC,186.0,291469.85,3102126.4463244514,3042541.841121282
55182,-843.1790997275175,99215.18445519847,Gas to NGCC,Gas,NGCC,685.2,2916903.62,3201341.63077965,3102126.446324452
55086,-827.7008808715233,120143.41458429758,Gas to NGCC,Gas,NGCC,432.0,372717.37,3321485.0453639477,3201341.63077965
7848,-821.2729155746902,69800.68299035438,Gas to NGCC,Gas,NGCC,321.29999999999995,195009.25,3391285.7283543022,3321485.0453639477
7910,-800.9692308765452,12056.526320109599,Gas to NGCC,Gas,NGCC,94.0,58593.18,3403342.254674412,3391285.7283543022
58284,-796.8122397623155,12460.862042685203,Gas to NGCC,Gas,NGCC,42.3,70512.65,3415803.116717097,3403342.254674412
55972,-790.0348696426296,62238.873412300774,Gas to NGCC,Gas,NGCC,345.0,214113.45,3478041.9901293977,3415803.116717097
6195,-788.627778887116,1176491.8214824195,Coal to NGCC,Coal,NGCC,603.0,2159559.12,4654533.811611817,3478041.9901293977
55440,-765.0535231378507,258628.68042876245,Gas to NGCC,Gas,NGCC,927.1,4918503.25,4913162.49204058,4654533.811611818
55841,-763.4866995499937,162623.77322612226,Gas to NGCC,Gas,NGCC,664.7,2521018.12,5075786.2652667025,4913162.49204058
55365,-748.7428328582847,70796.24279489898,Gas to NGCC,Gas,NGCC,236.0,190541.33,5146582.508061602,5075786.2652667025
