state,plant_count,annual_generation_mwh,NOx,SOx,PM2_5,CO2
AL,3,5145510.82,566.0061902000001,51.4551082,51.4551082,1903839.0033999998
AR,1,13663124.17,1502.9436587,136.6312417,136.6312417,5055355.9429
AZ,3,7594271.289999999,835.3698419,75.9427129,75.9427129,2809880.3773
CA,9,5249518.7,577.4470570000001,52.49518700000001,52.49518700000001,1942321.919
CO,1,256112.05,28.1723255,2.5611205,2.5611205,94761.4585
CT,1,41268.13,4.5394943,0.41268130000000003,0.41268130000000003,15269.208099999998
FL,12,62041100.93,6824.5211023,620.4110093,620.4110093,22955207.3441
GA,4,19271372.12,2119.8509332,192.7137212,192.7137212,7130407.684400001
IL,2,3594620.63,395.4082693,35.9462063,35.9462063,1330009.6331
IN,3,14800487.809999999,1628.0536591,148.00487809999998,148.00487809999998,5476180.489699999
KY,3,13682348.340000002,1505.0583174,136.82348340000001,136.82348340000001,5062468.8858
LA,7,16148047.45,1776.2852195,161.4804745,161.4804745,5974777.5565
MA,2,490581.86,53.9640046,4.9058186,4.9058186,181515.28819999998
MD,4,12931982.96,1422.5181256,129.3198296,129.3198296,4784833.6952
ME,2,497465.86000000004,54.721244600000006,4.974658600000001,4.974658600000001,184062.36820000003
MI,1,3627979.0,399.07769,36.279790000000006,36.279790000000006,1342352.23
MN,2,4340501.41,477.4551551,43.4050141,43.4050141,1605985.5217
MS,6,15944258.53,1753.8684383,159.44258530000002,159.44258530000002,5899375.6561
MT,1,564568.26,62.1025086,5.645682600000001,5.645682600000001,208890.2562
NC,3,8606338.99,946.6972889,86.0633899,86.0633899,3184345.4263
NJ,5,17824842.61,1960.7326871,178.24842610000002,178.24842610000002,6595191.765699999
NV,2,6118193.59,673.0012949000001,61.181935900000006,61.181935900000006,2263731.6283
NY,5,5703943.45,627.4337795,57.039434500000006,57.039434500000006,2110459.0765
OH,10,46659668.29,5132.5635119,466.5966829000001,466.5966829000001,17264077.2673
OR,1,3137089.68,345.07986480000005,31.370896800000004,31.370896800000004,1160723.1816
PA,19,66362880.72,7299.9168792,663.6288072,663.6288072,24554265.8664
RI,1,1203894.25,132.4283675,12.038942500000001,12.038942500000001,445440.8725
SC,4,16857251.92,1854.2977112,168.57251920000002,168.57251920000002,6237183.2104
TN,3,10238007.200000001,1126.180792,102.38007200000001,102.38007200000001,3788062.6640000003
TX,15,34039671.949999996,3744.3639145,340.3967195,340.3967195,12594678.6215
UT,1,6630478.42,729.3526262,66.3047842,66.3047842,2453277.0154
VA,7,35144465.89,3865.8912479,351.44465890000004,351.44465890000004,13003452.3793
WA,6,14978865.84,1647.6752424000001,149.7886584,149.7886584,5542180.3608
WI,1,7808.72,0.8589592,0.07808720000000001,0.07808720000000001,2889.2264
WV,8,37209802.35,4093.0782585,372.0980235,372.0980235,13767626.8695
