facility_id,site_name,state,latitude,longitude,annual_generation_mwh,original_fuel,new_technology,abatement_cost,NOx,SOx,PM2_5,VOC,NH3,CO2,transition,height,diam,temp,velocity
130,Plant 130,SC,33.371506,-80.113235,9164494.42,Coal,NGCC,-425.34018085150615,1008.0943862,91.64494420000001,91.64494420000001,183.28988840000002,91.64494420000001,3390862.9354,Coal to NGCC,50.0,5.0,400.0,20.0
147,Plant 147,AZ,33.3556,-111.9353,1285009.72,Gas,NGCC,-980.7495243613862,141.3510692,12.8500972,12.8500972,25.7001944,12.8500972,475453.5964,Gas to NGCC,50.0,5.0,400.0,20.0
358,Plant 358,CA,34.0818,-117.2418,2651623.48,Gas,NGCC,-593.3357358545557,291.6785828,26.516234800000003,26.516234800000003,53.032469600000006,26.516234800000003,981100.6876,Gas to NGCC,50.0,5.0,400.0,20.0
609,Plant 609,FL,28.4698,-80.7644,7228933.14,Gas,NGCC,-333.28417211808494,795.1826454,72.28933140000001,72.28933140000001,144.57866280000002,72.28933140000001,2674705.2618,Gas to NGCC,50.0,5.0,400.0,20.0
617,Plant 617,FL,26.0856,-80.1253,5812474.5,Gas,NGCC,-672.7288586090585,639.372195,58.124745000000004,58.124745000000004,116.24949000000001,58.124745000000004,2150615.565,Gas to NGCC,50.0,5.0,400.0,20.0
619,Plant 619,FL,26.7653,-80.0525,7379332.17,Gas,NGCC,-363.46058555409644,811.7265387,73.7933217,73.7933217,147.5866434,73.7933217,2730352.9029,Gas to NGCC,50.0,5.0,400.0,20.0
634,Plant 634,FL,27.859535,-82.601759,6702336.9,Gas,NGCC,-661.3959565324043,737.257059,67.023369,67.023369,134.046738,67.023369,2479864.653,Gas to NGCC,50.0,5.0,400.0,20.0
666,Plant 666,FL,30.364818,-81.625967,188179.23,Gas,NGCC,-471.81536786681016,20.6997153,1.8817923000000003,1.8817923000000003,3.7635846000000006,1.8817923000000003,69626.3151,Gas to NGCC,50.0,5.0,400.0,20.0
710,Plant 710,GA,33.8239,-84.4758,18066522.5,Gas,NGCC,-900.2439107282187,1987.317475,180.66522500000002,180.66522500000002,361.33045000000004,180.66522500000002,6684613.325,Gas to NGCC,50.0,5.0,400.0,20.0
991,Plant 991,IN,39.48517,-86.4183,5418778.17,Gas,NGCC,-136.41834378344942,596.0655987,54.1877817,54.1877817,108.3755634,54.1877817,2004947.9229,Gas to NGCC,50.0,5.0,400.0,20.0
