facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
147,-980.7495243613862,432447.5944740057,Gas to NGCC-CCS,Gas,NGCC-CCS,573.7,1285009.72,432447.5944740057,0.0
7836,-978.7884101855187,121736.57399715982,Gas to NGCC-CCS,Gas,NGCC-CCS,513.3,220893.69,554184.1684711655,432447.59447400563
57943,-960.5720537876641,594280.1081905758,Gas to Wind,Gas,Wind,363.0,1171055.83,1148464.2766617413,554184.1684711655
55247,-956.0774859195792,178769.46805357217,Gas to NGCC-CCS,Gas,NGCC-CCS,564.0,566005.76,1327233.7447153134,1148464.2766617413
55372,-938.6813742724818,822393.5995141733,Gas to NGCC-CCS,Gas,NGCC-CCS,1277.1,1492805.65,2149627.344229487,1327233.7447153134
6043,-902.9723257249814,2954193.599929237,Gas to NGCC-CCS,Gas,NGCC-CCS,2448.4999999999995,8639569.81,5103820.944158724,2149627.344229487
710,-900.2439107282187,5780356.493921644,Gas to NGCC-CCS,Gas,NGCC-CCS,2848.4000000000005,18066522.5,10884177.438080367,5103820.944158723
2880,-893.8149990939246,159524.76700050902,Gas to NGCC-CCS,Gas,NGCC-CCS,450.0,233591.47,11043702.205080876,10884177.438080367
55499,-883.8695144614163,3961.8829374434195,Gas to NGCC-CCS,Gas,NGCC-CCS,60.5,7382.72,11047664.088018319,11043702.205080876
55836,-881.7149954776081,5393.5346147216205,Gas to NGCC-CCS,Gas,NGCC-CCS,60.5,7808.72,11053057.62263304,11047664.088018319
2847,-879.4979188576206,248103.36315634442,Gas to NGCC-CCS,Gas,NGCC-CCS,680.6000000000001,394193.4,11301160.985789385,11053057.62263304
7449,-877.6336361088024,2845.61629734352,Gas to NGCC-CCS,Gas,NGCC-CCS,50.0,7140.32,11304006.602086728,11301160.985789385
7916,-861.7654384903228,313017.757453022,Gas to NGCC-CCS,Gas,NGCC-CCS,726.0,524114.19,11617024.359539751,11304006.602086728
55111,-847.726634524356,373024.34009539156,Gas to NGCC-CCS,Gas,NGCC-CCS,692.0,576508.6,11990048.699635142,11617024.359539751
3393,-835.4346459925547,1727672.7490443531,Gas to NGCC-CCS,Gas,NGCC-CCS,1791.7000000000007,5494221.87,13717721.448679496,11990048.699635142
