State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Technology,Technology_alt,Operating Year,Age,Total Capital Cost (2024$/kW),Total Nameplate Capacity (MW),Fuel Category,Energy Source,Latitude,Longitude,wind_cf,pvout,Wind Size (MW),Solar Size (MW),NGCC Size (MW),Wind Capital Cost ($),Solar Capital Cost ($),NGCC Capital Cost ($),Existing Capital Cost ($),Remaining Capital Cost ($),Fixed O&M - Wind ($/year),Fixed O&M - Solar ($/year),Fixed O&M - NGCC ($/year),Variable O&M - Wind ($/year),Variable O&M - Solar ($/year),Variable O&M - NGCC ($/year),Fixed O&M - Existing ($/year),Variable O&M - Existing ($/year),Fuel costs ($/MWh),NGCC Fuel Cost ($/year),Existing Fuel Cost ($/year),Annualized Capital - Wind ($),Annualized Capital - Solar ($),Annualized Capital - NGCC ($),Annualized Capital - Existing ($),Old Emissions (tonnes CO2),New Emissions (tonnes CO2),Delta Emissions (tonnes CO2),Net Capital Cost - Wind ($/year),Net Fixed O&M - Wind ($/year),Net Variable O&M - Wind ($/year),Net Fuel Cost - Wind ($/year),Net Capital Cost - Solar ($/year),Net Fixed O&M - Solar ($/year),Net Variable O&M - Solar ($/year),Net Fuel Cost - Solar ($/year),Net Capital Cost - NGCC ($/year),Net Fixed O&M - NGCC ($/year),Net Variable O&M - NGCC ($/year),Net Fuel Cost - NGCC ($/year),Total Cost - Wind ($/year),Total Cost - Solar ($/year),Total Cost - NGCC ($/year),MACC - Wind ($/tonne CO2),MACC - Solar ($/tonne CO2),MACC - NGCC ($/tonne CO2)
AL,3,9909175.25,280.447,5492459.55,1325.482,78038481.45,Conventional Steam Coal,Coal,1971.0,53.0,18365.55948686083,3343.4999999999995,Coal,BIT,31.0069,-88.0103,0.17066957,1559.983,6627.920794122853,6352.1045070962355,1917.2616767278075,18955853471.19136,14248322971.396963,2254699731.8319016,61405248144.31918,0.0,196451572.33780137,109002113.34177141,26324002.821472798,0.0,0.0,20809268.025000002,0.0,0.0,0.0,220925062.19875002,0.0,1845093614.3861003,1386879771.4747818,219464245.37853494,0.0,4982675.269128884,3339755.7259816746,1642919.5431472096,1845093614.3861003,196451572.33780137,0.0,0.0,1386879771.4747818,109002113.34177141,0.0,0.0,219464245.37853494,26324002.821472798,20809268.025000002,220925062.19875002,2041545186.7239017,1495881884.816553,487522578.4237578,409.7287253240613,300.21661136228863,296.7416027505825
AL,10,1486496.0,4.784,877874.75,1128.351,14636558.775,Natural Gas Steam Turbine,Oil/Gas steam,1965.0,59.0,11012.762448740481,1288.4,Gas,NG,32.6017,-87.7811,0.22265717,1548.295,762.1192904929972,960.0857445181518,287.612413899853,2179661170.809972,1970939057.4179478,338232198.74622715,14188843138.957235,0.0,22589215.770212438,16475071.375931486,3948918.442844982,0.0,0.0,3121641.6,0.0,0.0,0.0,33141428.32,0.0,212160265.6350377,191844016.66286248,32922288.14887604,0.0,796394.541716325,501003.7064032,295390.835313125,212160265.6350377,22589215.770212438,0.0,0.0,191844016.66286248,16475071.375931486,0.0,0.0,32922288.14887604,3948918.442844982,3121641.6,33141428.32,234749481.40525013,208319088.03879398,73134276.51172101,294.7653067778906,261.5777446061365,247.58478520227627
AL,26,3724241.0,847.64,3277111.004,2318.763,39268998.175,Conventional Steam Coal,Coal,1974.0,50.0,11618.89338019918,2034.0,Coal,BIT,33.244211,-86.458056,0.20900571,1537.702,2034.1150862167538,2421.9523263544747,720.5790960451978,5817569146.579916,5056982664.258446,847401016.9491526,23632829135.325134,0.0,60291171.15546458,41560701.92024279,9893550.988700567,0.0,0.0,7820906.100000001,0.0,0.0,0.0,83031953.095,0.0,566260954.6923015,492228241.58589816,82482923.15476008,0.0,2972944.963030439,1255205.8966446999,1717739.066385739,566260954.6923015,60291171.15546458,0.0,0.0,492228241.58589816,41560701.92024279,0.0,0.0,82482923.15476008,9893550.988700567,7820906.100000001,83031953.095,626552125.847766,533788943.50614095,183229333.33846062,210.75133702074893,179.548881712909,106.66889804397933
AL,47,57840.42,3.888,37420.817,61.766,625437.879,Natural Gas Fired Combustion Turbine,Combustion turbine,2023.0,1.0,10176.740269829526,1169.6,Gas,NG,34.7439,-87.8486,0.26394117,1500.082,25.016132824762632,38.558171350004294,11.191165544462503,71546139.87882113,74894525.32727534,13160810.680287903,11902715419.592613,144882019354.79425,741478.1769259644,661658.2203660738,153654.70292547016,0.0,0.0,121464.882,0.0,0.0,0.0,1289552.1639,0.0,6964040.211906687,7289959.834509567,1281025.2929654787,14102287146.13995,33947.5926438999,19494.344283413997,14453.248360485904,-14095323105.928043,741478.1769259644,0.0,0.0,-14094997186.30544,661658.2203660738,0.0,0.0,-14101006120.846985,153654.70292547016,121464.882,1289552.1639,-14094581627.751118,-14094335528.085075,-14099441449.09816,-415186.48393124854,-415179.2345316041,-975520.5956084568
KY,54,416889.2,1.58,306604.2,88.769,5157543.199,Natural Gas Fired Combustion Turbine,Combustion turbine,1999.0,25.0,6315.14860598998,1055.0,Gas,NG,37.8833,-84.1017,0.2608638,1405.847,182.43270685479683,296.5395141784985,80.66117173593376,521757541.6047189,568402939.1538211,94857537.9614581,6662481779.319428,10251054064.745651,5407305.431176178,5088618.063303035,1107477.8879343707,0.0,0.0,875467.3200000001,0.0,0.0,0.0,9294544.714,0.0,50785975.410483725,55326268.21709088,9233086.647091154,997800200.5730919,278146.63919574,140506.96023363998,137639.6789621,-947014225.1626081,5407305.431176178,0.0,0.0,-942473932.356001,5088618.063303035,0.0,0.0,-988567113.9260007,1107477.8879343707,875467.3200000001,9294544.714,-941606919.731432,-937385314.292698,-977289624.0040663,-3385.2895812585944,-3370.111956064414,-7100.348034618487
AL,56,1753729.47,3.261,646064.636,86.62,10871305.052,Natural Gas Fired Combined Cycle,Combined cycle,2023.0,1.0,2418.5876317249026,732.7,Gas,NG,31.488019,-87.910747,0.19005698,1561.809,1053.3547626684763,1122.8834735612365,339.3176747155793,3012594621.231842,2428591598.8700495,399037585.4655213,1772099157.7648363,21570313615.26806,31221435.165493634,19268680.40631082,4658831.673844904,0.0,0.0,3682831.887,0.0,0.0,0.0,39099398.533649996,0.0,293234968.6505271,236390245.25257802,38840862.6370442,2099575625.667426,586099.9529902692,591071.193261549,-4971.240271279821,-1806340657.016899,31221435.165493634,0.0,0.0,-1863185380.414848,19268680.40631082,0.0,0.0,-2060734763.030382,4658831.673844904,3682831.887,39099398.533649996,-1775119221.8514054,-1843916700.0085373,-2013293700.935887,-3028.69708962573,-3146.078907873844,404988.2104003745
NE,59,405362.95,353.457,487057.496,399.189,4643955.627,Conventional Steam Coal,Coal,1982.0,42.0,3293.5881663737555,109.8,Coal,SUB,40.854765,-98.348222,0.41150495,1576.784,112.45140129221474,257.08209570090304,78.43103281479762,321611007.69573414,457942842.3595752,92234894.590202,361635980.66783834,0.0,3333059.534301245,4411528.762227496,1076858.0805471714,0.0,0.0,851262.1950000001,0.0,0.0,0.0,9037566.97025,0.0,31304442.05625014,44574485.420854464,8977808.110333582,0.0,441851.10839151114,136622.190970265,305228.9174212462,31304442.05625014,3333059.534301245,0.0,0.0,44574485.420854464,4411528.762227496,0.0,0.0,8977808.110333582,1076858.0805471714,851262.1950000001,9037566.97025,34637501.590551384,48986014.18308196,19943495.356130753,78.39179518332253,110.8654323883169,65.33946889641112
NE,60,1224281.29,2125.891,1200502.188,967.595,11446456.991,Conventional Steam Coal,Coal,2011.0,13.0,7140.900869956817,324.3,Coal,SUB,40.580872,-98.312437,0.45317397,1586.281,308.39842567890895,771.7934498854697,236.87820021670152,882019497.4416795,1352556515.8014889,278568763.45484096,2315794152.126996,10021908144.248934,9140929.337122861,13243975.600034662,3252337.688975312,0.0,0.0,2570990.7090000003,0.0,0.0,0.0,27295351.36055,0.0,85852559.73659934,131652916.2980913,27114867.04616606,975495972.7358345,1089077.2172701235,412627.725853343,676449.4914167805,-889643412.9992352,9140929.337122861,0.0,0.0,-843843056.4377432,13243975.600034662,0.0,0.0,-948381105.6896684,3252337.688975312,2570990.7090000003,27295351.36055,-880502483.6621122,-830599080.8377085,-915262425.931143,-808.4848986825526,-762.6631681082125,-1353.038826319736
KS,108,1747062.29,1166.489,1773082.229,1629.74,16905792.226,Conventional Steam Coal,Coal,1983.0,41.0,3293.5881663737555,348.7,Coal,SUB,37.9308,-100.9725,0.43814236,1717.771,455.18616537098734,1017.0519201761231,338.027685550654,1301832432.9610238,1819543038.4277186,397520558.20756906,1148474193.6145284,0.0,13491717.941596065,17452610.950222272,4641120.122610479,0.0,0.0,3668830.8090000004,0.0,0.0,0.0,38950753.755550005,0.0,126715619.1467512,177107680.5592477,38693200.7387946,0.0,1608513.0699906962,588824.1089160431,1019688.9610746531,126715619.1467512,13491717.941596065,0.0,0.0,177107680.5592477,17452610.950222272,0.0,0.0,38693200.7387946,4641120.122610479,3668830.8090000004,38950753.755550005,140207337.08834726,194560291.50947,85953905.42595509,87.16580530437234,120.95661212786747,84.29423942705824
AZ,113,1987350.31,918.513,2272264.575,1982.254,22146886.998,Conventional Steam Coal,Coal,1980.0,44.0,6587.176332747511,425.9,Coal,SUB,34.9394,-110.3033,0.14044663,1906.97,1615.3215626111253,1042.1508154463688,384.5194470242242,4619819669.067818,2739909411.4760194,452194869.7004876,2805478400.117165,0.0,47878131.11579375,17883307.993059687,5279452.007642598,0.0,0.0,4173435.651,0.0,0.0,0.0,44307975.16145,0.0,449676390.6709293,266692785.25463587,44014998.734324284,0.0,2061363.6567920025,669809.9902263769,1391553.6665656255,449676390.6709293,47878131.11579375,0.0,0.0,266692785.25463587,17883307.993059687,0.0,0.0,44014998.734324284,5279452.007642598,4173435.651,44307975.16145,497554521.7867231,284576093.24769557,97775861.55441688,241.37154070186838,138.05234816770135,70.26380936908393
AZ,116,626683.21,1.707,337870.985,23.692,5685360.904,Natural Gas Fired Combustion Turbine,Combustion turbine,2019.0,5.0,8335.169537784614,626.2,Gas,NG,33.4225,-111.9122,0.06670708,1890.899,1072.4374956865204,331.42076554115187,121.25284614193949,3067171237.6634483,1297094640.2167163,142593347.06292084,5219483164.560725,45008024333.623665,31787047.372148465,5687180.336686166,1664801.5775288292,0.0,0.0,1316034.741,0.0,0.0,0.0,13971902.16695,0.0,298547257.36523974,126254459.68737407,13879516.135719566,4380916871.947311,306511.3881659295,211215.241043807,95296.14712212246,-4082369614.582072,31787047.372148465,0.0,0.0,-4254662412.2599373,5687180.336686166,0.0,0.0,-4367037355.811592,1664801.5775288292,1316034.741,13971902.16695,-4050582567.2099233,-4248975231.923251,-4350084617.326113,-13215.112793842252,-13862.373131869002,-45648.06394272645
AZ,117,2112982.33,4.894,969426.802,133.486,16312518.425,Natural Gas Fired Combined Cycle,Combined cycle,2003.0,21.0,8696.129357130065,1206.7999999999997,Gas,NG,33.4417,-112.1583,0.045467876,1898.935,5305.020943993341,1112.7196374818432,408.82716701493695,15172359899.820953,5653643994.396634,480780748.40956587,10494488908.18456,22792909930.867924,157240820.7799626,19094268.979188427,5613197.003115085,0.0,0.0,4437262.893,0.0,0.0,0.0,47108941.04735,0.0,1476822154.638018,550305078.4775846,46797443.86916848,2218578690.251862,879449.1625443294,712152.591661511,167296.57088281843,-741756535.6138442,157240820.7799626,0.0,0.0,-1668273611.7742774,19094268.979188427,0.0,0.0,-2171781246.382694,5613197.003115085,4437262.893,47108941.04735,-584515714.8338816,-1649179342.795089,-2114621845.4392285,-664.6384347479762,-1875.2412453539184,-12639.95929074003
AZ,118,129391.26,0.483,95661.122,24.419,1609688.576,Natural Gas Fired Combustion Turbine,Combustion turbine,2002.0,22.0,2112.0103030148666,184.5,Gas,NG,32.5517,-111.3,0.11751835,1910.623,125.68839280086115,67.72202408613845,25.035070814952405,359468803.41046286,193836046.19098467,29441243.27838403,389665900.9062429,776433716.8863325,3725403.962617525,1162109.9333181358,343731.52228929655,0.0,0.0,271721.646,0.0,0.0,0.0,2884778.1416999996,0.0,34989381.7628235,18867293.50426643,2865703.2011294602,75575225.0985827,86782.3062632334,43609.60327924199,43172.70298399142,-40585843.3357592,3725403.962617525,0.0,0.0,-56707931.594316274,1162109.9333181358,0.0,0.0,-72709521.89745323,343731.52228929655,271721.646,2884778.1416999996,-36860439.373141676,-55545821.660998136,-69209290.58746395,-424.7460220904286,-640.0592937978987,-1603.0798584264455
AZ,120,170621.92,0.502,99532.362,9.428,1674743.536,Natural Gas Steam Turbine,Oil/Gas steam,1959.0,65.0,5849.583672323563,417.0,Gas,NG,32.7214,-114.7106,0.2054651,1916.102,94.79657722402214,89.04636364771517,33.0125222505998,271118210.86070335,201174126.40659645,38822726.16670537,2439276391.358926,0.0,2809770.5489200163,1528035.6001947925,453261.9305007353,0.0,0.0,358306.03200000006,0.0,0.0,0.0,3804015.7064000005,0.0,26389657.440806776,19581555.458667755,3778862.5161147257,0.0,90294.2359612614,57505.848864464,32788.38709679739,26389657.440806776,2809770.5489200163,0.0,0.0,19581555.458667755,1528035.6001947925,0.0,0.0,3778862.5161147257,453261.9305007353,358306.03200000006,3804015.7064000005,29199427.989726793,21109591.05886255,8394446.185015462,323.3808634501777,233.78669561940941,256.01888132629097
AZ,124,1343.8,0.032,1099.476,0.481,18501.683,Natural Gas Fired Combustion Turbine,Combustion turbine,2001.0,23.0,594.5735117858569,85.0,Gas,NG,32.252273,-110.992148,0.07167208,1907.701,2.140328962231832,0.7044080623311392,0.2600030957356242,6121340.83198304,2650913.5434761457,305763.64058509405,50538748.50179784,92386809.37840238,63439.350440551505,12087.642349602347,3569.84250445012,0.0,0.0,2821.98,0.0,0.0,0.0,29960.020999999997,0.0,595828.9822053029,258030.25217466292,29761.917162548445,8992594.941539327,997.4278052172001,452.90991746,544.5178877572001,-8396765.959334023,63439.350440551505,0.0,0.0,-8734564.689364664,12087.642349602347,0.0,0.0,-8962833.024376778,3569.84250445012,2821.98,29960.020999999997,-8333326.608893472,-8722477.047015062,-8926481.180872327,-8354.816825142352,-8744.97081532197,-16393.366281573166
