facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
10649,-1910.3995520379092,4711.670356104398,Gas to NGCC,Gas,NGCC,46.0,48863.68,4711.670356104398,0.0
54817,-1836.45946437759,88129.89952121116,Gas to NGCC,Gas,NGCC,282.6,1165178.14,92841.56987731556,4711.670356104398
55349,-1612.381496058883,483264.5661925217,Gas to NGCC,Gas,NGCC,344.0,2246086.31,576106.1360698373,92841.56987731555
7699,-1319.3353555839342,193453.39381484847,Gas to NGCC,Gas,NGCC,278.1,736121.22,769559.5298846858,576106.1360698373
54914,-1188.775180976452,388518.8278344944,Gas to NGCC,Gas,NGCC,322.0,1679381.57,1158078.3577191802,769559.5298846858
50458,-1181.1428108236014,50230.22972090499,Gas to NGCC,Gas,NGCC,147.0,523187.5,1208308.5874400851,1158078.3577191802
55479,-870.4087754410199,552350.9351431967,Coal to NGCC,Coal,NGCC,90.0,713811.3,1760659.5225832819,1208308.5874400851
10678,-870.0829325747727,555760.8142862871,Coal to NGCC,Coal,NGCC,229.0,658186.54,2316420.336869569,1760659.522583282
54785,-655.0031766828312,398225.3242680596,Gas to NGCC,Gas,NGCC,192.6,895049.45,2714645.6611376284,2316420.3368695686
7210,-641.2224586542678,467442.7808576007,Gas to NGCC,Gas,NGCC,417.3,1476651.41,3182088.441995229,2714645.6611376284
55101,-613.8744924117664,61266.603164919805,Gas to NGCC,Gas,NGCC,77.4,188487.02,3243355.0451601488,3182088.441995229
55039,-547.8883644106705,156290.0045449159,Gas to NGCC,Gas,NGCC,150.0,561576.19,3399645.049705065,3243355.0451601488
55064,-509.07953229497883,361149.9288959033,Gas to NGCC,Gas,NGCC,243.9,1740733.71,3760794.978600968,3399645.049705065
55015,-471.0881398962504,1589549.56396941,Gas to NGCC,Gas,NGCC,572.0,3324179.91,5350344.542570379,3760794.9786009686
55088,-449.3294826579428,2069125.3979309648,Gas to NGCC,Gas,NGCC,509.90000000000003,3627979.0,7419469.940501343,5350344.542570379
1391,-407.0441940595766,954228.5127537434,Gas to NGCC,Gas,NGCC,450.90000000000003,3333297.56,8373698.453255087,7419469.940501343
3006,-360.51068342015617,291378.25768301554,Gas to NGCC,Gas,NGCC,534.9,1101809.93,8665076.710938103,8373698.453255088
7504,-221.98179681964953,575539.937085861,Coal to NGCC,Coal,NGCC,130.0,752832.76,9240616.648023965,8665076.710938103
57842,-163.5935130740963,97761.52195516851,Gas to NGCC,Gas,NGCC,192.0,430272.11,9338378.169979133,9240616.648023965
7325,-125.36402635950145,288688.35886331345,Gas to NGCC,Gas,NGCC,176.4,719261.22,9627066.528842445,9338378.169979133
54915,-17.7768077170585,179630.397493402,Gas to NGCC,Gas,NGCC,138.1,1042639.9,9806696.926335847,9627066.528842445
2707,0.0,1067.57495496,Oil to Wind,Oil,Wind,70.0,0.0,9807764.501290808,9806696.926335847
2716,0.0,2182.32351432,Oil to Wind,Oil,Wind,163.0,0.0,9809946.824805127,9807764.501290808
2504,0.09875317636060793,202738.7761160925,Oil to NGCC,Oil,NGCC,37.0,210.0,10012685.60092122,9809946.824805127
2712,69.47816202134655,3280609.1478183274,Coal to NGCC,Coal,NGCC,2558.2,2390750.27,13293294.748739546,10012685.60092122
3785,69.85044242034317,3221.15364725,Oil to NGCC,Oil,NGCC,27.0,2360.0,13296515.902386796,13293294.748739546
2514,70.00898113445604,1319.5887943199996,Oil to NGCC,Oil,NGCC,110.0,969.0,13297835.491181117,13296515.902386796
1564,71.6043277194955,8802.3730312033,Oil to NGCC,Oil,NGCC,180.6,6611.05,13306637.86421232,13297835.491181117
3982,71.96965066396015,211849.44740059174,Gas to NGCC,Gas,NGCC,27.2,159921.97,13518487.311612912,13306637.86421232
2390,78.39610677066278,858.2842516179999,Oil to NGCC,Oil,NGCC,212.0,705.76,13519345.595864529,13518487.311612912
2521,93.96030542056369,40.58674012,Oil to NGCC,Oil,NGCC,52.4,40.0,13519386.182604648,13519345.595864529
3116,100.52591139261702,391.68832934000005,Oil to NGCC,Oil,NGCC,54.0,413.0,13519777.870933989,13519386.182604648
341,111.40216080565041,6677.130075099001,Gas to NGCC,Gas,NGCC,252.0,7802.16,13526455.001009088,13519777.870933989
1554,113.90046900967151,77165.31684237639,Oil to NGCC,Oil,NGCC,922.5,92188.99,13603620.317851465,13526455.001009088
8012,114.28522503003562,550.507475703,Oil to NGCC,Oil,NGCC,546.4,659.91,13604170.825327167,13603620.317851465
6098,117.86780386664482,1341498.77856141,Coal to NGCC,Coal,NGCC,451.0,1658505.34,14945669.603888577,13604170.825327167
7155,118.98286571626262,350.3275251824,Oil to NGCC,Oil,NGCC,90.2,437.21,14946019.931413759,14945669.603888577
6183,119.16057934189764,1258832.5048932135,Coal to NGCC,Coal,NGCC,410.0,1573373.95,16204852.436306972,14946019.931413759
3111,119.4701286296672,2661.7042401259996,Oil to NGCC,Oil,NGCC,54.0,3335.42,16207514.140547099,16204852.436306972
4271,122.48956450683569,1073110.8725618054,Coal to NGCC,Coal,NGCC,387.0,1378716.86,17280625.013108905,16207514.1405471
6641,126.04915053344023,3819752.0627715075,Coal to NGCC,Coal,NGCC,1800.0,5050175.82,21100377.075880412,17280625.013108905
50555,126.2339523961205,3807.396176966899,Oil to NGCC,Oil,NGCC,180.0,5041.22,21104184.47205738,21100377.075880412
59,126.61552924593046,305228.9174212462,Coal to NGCC,Coal,NGCC,109.8,405362.95,21409413.389478628,21104184.47205738
1167,127.32762306383646,460960.67836944625,Coal to NGCC,Coal,NGCC,293.5,615627.36,21870374.067848075,21409413.389478628
6101,127.47794802726507,1527119.787246996,Coal to NGCC,Coal,NGCC,362.1,2041923.98,23397493.85509507,21870374.067848075
1393,128.07066047429362,1197626.7878922962,Coal to NGCC,Coal,NGCC,1433.6,1608801.83,24595120.642987367,23397493.85509507
879,129.33379729586534,1157560.5127620425,Coal to NGCC,Coal,NGCC,1785.6,1570316.28,25752681.15574941,24595120.642987367
1379,129.41267564432178,3967804.951397162,Coal to NGCC,Coal,NGCC,1575.0,5385903.06,29720486.107146572,25752681.15574941
594,130.23949758933597,19588.460754361797,Coal to NGCC,Coal,NGCC,464.1,26759.28,29740074.567900933,29720486.107146572
6772,130.24809911764515,518374.29405913176,Coal to NGCC,Coal,NGCC,446.0,708184.23,30258448.861960065,29740074.567900933
6204,131.1659242958303,7442444.103981525,Coal to NGCC,Coal,NGCC,1863.0,10239246.69,37700892.96594159,30258448.86196007
1012,131.29912846211883,1191966.8526564483,Coal to NGCC,Coal,NGCC,368.9,1641562.5,38892859.81859804,37700892.96594159
2628,131.60221563205897,660.9835856848,Gas to NGCC,Gas,NGCC,46.5,912.4,38893520.802183725,38892859.81859804
8222,132.11344154796302,1984684.480014733,Coal to NGCC,Coal,NGCC,450.0,2750235.48,40878205.28219846,38893520.802183725
1702,132.1624003500876,487887.88403486717,Gas to NGCC,Gas,NGCC,1402.3,676331.09,41366093.16623332,40878205.28219846
6009,133.5405788686643,2680658.9150522677,Coal to NGCC,Coal,NGCC,1800.0,3754794.85,44046752.08128559,41366093.16623332
4158,133.98704496384119,2805269.532788214,Coal to NGCC,Coal,NGCC,816.7,3942473.7,46852021.614073806,44046752.08128559
1040,136.03548055768957,16653.839785711498,Coal to NGCC,Coal,NGCC,93.9,23762.82,46868675.453859515,46852021.614073806
113,136.15796945344292,1391553.6665656255,Coal to NGCC,Coal,NGCC,425.9,1987350.31,48260229.12042514,46868675.453859515
3407,136.37334754134918,1958399.2836109353,Coal to NGCC,Coal,NGCC,1700.0,2801316.27,50218628.404036075,48260229.12042514
6177,136.96710065725543,2448125.142304471,Coal to NGCC,Coal,NGCC,821.8,3517072.15,52666753.54634055,50218628.404036075
6139,137.89820215011957,2666472.686538996,Coal to NGCC,Coal,NGCC,1116.0,3856800.23,55333226.23287954,52666753.54634055
6166,137.95981105308343,2066300.5723229074,Coal to NGCC,Coal,NGCC,2600.0,2990043.37,57399526.80520245,55333226.23287954
6064,138.16188204657385,600547.4621771745,Coal to NGCC,Coal,NGCC,365.0,870295.98,58000074.26737962,57399526.80520245
1573,138.29522484319165,315.06932536900007,Oil to NGCC,Oil,NGCC,260.0,457.03,58000389.33670499,58000074.26737962
6257,138.58775664774325,5069262.107247445,Coal to NGCC,Coal,NGCC,2673.0,7368872.0,63069651.443952434,58000389.33670499
2817,138.6361171820752,2521454.052931223,Coal to NGCC,Coal,NGCC,656.0,3666560.42,65591105.49688366,63069651.44395244
6248,138.64712130826229,2068942.3776971293,Coal to NGCC,Coal,NGCC,552.3,3008781.52,67660047.87458079,65591105.49688365
6017,139.62221763371505,2304602.8138294546,Coal to NGCC,Coal,NGCC,617.4,3375064.06,69964650.68841024,67660047.87458079
2240,139.69250374946617,300438.48238453525,Coal to NGCC,Coal,NGCC,170.0,440210.16,70265089.17079477,69964650.68841024
6823,140.71020060300754,2134861.227139622,Coal to NGCC,Coal,NGCC,509.4,3150842.05,72399950.39793439,70265089.17079477
6179,140.71324893638595,5602701.262257667,Coal to NGCC,Coal,NGCC,1690.0,8269206.89,78002651.66019206,72399950.39793439
8224,140.74942671394354,817771.2083072483,Coal to NGCC,Coal,NGCC,567.0,1207285.13,78820422.86849931,78002651.66019206
3845,140.75813816542686,3004860.1807213044,Coal to NGCC,Coal,NGCC,729.9,4436384.54,81825283.0492206,78820422.86849931
6469,140.79244307664166,3571086.673787828,Coal to NGCC,Coal,NGCC,954.0,5273647.98,85396369.72300844,81825283.0492206
7030,141.9674804455776,1769995.1817106116,Coal to NGCC,Coal,NGCC,349.2,2635678.05,87166364.90471905,85396369.72300844
6018,142.25594865581363,1646230.496799245,Coal to NGCC,Coal,NGCC,772.0,2456362.62,88812595.4015183,87166364.90471905
2718,142.4907830327378,92988.87152067361,Coal to NGCC,Coal,NGCC,435.2,138978.99,88905584.27303897,88812595.4015183
2277,142.58941990630754,544290.70249151,Coal to NGCC,Coal,NGCC,228.7,814047.26,89449874.97553048,88905584.27303897
6021,142.8530851582259,3498296.4242827217,Coal to NGCC,Coal,NGCC,1427.6,5241766.02,92948171.39981319,89449874.97553048
4050,143.9337754304811,1375768.3567157553,Coal to NGCC,Coal,NGCC,413.7,2077014.05,94323939.75652894,92948171.39981319
6213,144.50369188920791,3047449.6577309454,Coal to NGCC,Coal,NGCC,1080.0,4618988.53,97371389.4142599,94323939.75652894
6138,145.31906852986,1493440.4315298446,Coal to NGCC,Coal,NGCC,558.0,2276365.06,98864829.84578975,97371389.4142599
6254,145.4397160724717,2250611.460645874,Coal to NGCC,Coal,NGCC,725.9,3433325.23,101115441.30643561,98864829.84578975
2823,145.4769906433612,3272423.8483970277,Coal to NGCC,Coal,NGCC,734.0,4993387.37,104387865.15483265,101115441.30643561
6705,145.69860718524473,3026667.587872939,Coal to NGCC,Coal,NGCC,822.8,4625423.76,107414532.74270558,104387865.15483265
8023,145.8678857105051,3032888.5378008364,Coal to NGCC,Coal,NGCC,1112.0,4640315.81,110447421.28050642,107414532.74270558
6768,146.60737754154815,958360.2551069651,Coal to NGCC,Coal,NGCC,261.0,1473723.54,111405781.53561339,110447421.28050642
8008,146.6902479167355,1268.1456721200002,Gas to NGCC,Gas,NGCC,71.2,1951.2,111407049.6812855,111405781.53561339
