Plant Code,State,County,Generator ID,Technology,Prime Mover,Nameplate Capacity (MW),Status,Operating Year,Planned Retirement Year,Energy Source,Fuel Category
3.0,AL,Mobile,1,Natural Gas Steam Turbine,ST,153.1,OP,1954.0, ,NG,Gas
3.0,AL,Mobile,2,Natural Gas Steam Turbine,ST,153.1,OP,1954.0, ,NG,Gas
3.0,AL,Mobile,4,Conventional Steam Coal,ST,403.7,OP,1969.0, ,BIT,Coal
3.0,AL,Mobile,5,Conventional Steam Coal,ST,788.8,OP,1971.0, ,BIT,Coal
3.0,AL,Mobile,A1CT,Natural Gas Fired Combined Cycle,CT,170.1,OP,2000.0, ,NG,Gas
3.0,AL,Mobile,A1CT2,Natural Gas Fired Combined Cycle,CT,170.1,OP,2000.0, ,NG,Gas
3.0,AL,Mobile,A1ST,Natural Gas Fired Combined Cycle,CA,195.2,OP,2000.0, ,NG,Gas
3.0,AL,Mobile,A2C1,Natural Gas Fired Combined Cycle,CT,170.1,OP,2000.0, ,NG,Gas
3.0,AL,Mobile,A2C2,Natural Gas Fired Combined Cycle,CT,170.1,OP,2000.0, ,NG,Gas
3.0,AL,Mobile,A2ST,Natural Gas Fired Combined Cycle,CA,195.2,OP,2000.0, ,NG,Gas
3.0,AL,Mobile,A3C1,Natural Gas Fired Combined Cycle,CT,464.0,OP,2023.0, ,NG,Gas
3.0,AL,Mobile,A3ST,Natural Gas Fired Combined Cycle,CA,310.0,OP,2023.0, ,NG,Gas
10.0,AL,Greene,1,Natural Gas Steam Turbine,ST,299.2,OP,1965.0, ,NG,Gas
10.0,AL,Greene,2,Natural Gas Steam Turbine,ST,269.2,OP,1966.0, ,NG,Gas
10.0,AL,Greene,GT10,Natural Gas Fired Combustion Turbine,GT,80.0,OP,1996.0, ,NG,Gas
10.0,AL,Greene,GT2,Natural Gas Fired Combustion Turbine,GT,80.0,OP,1996.0, ,NG,Gas
10.0,AL,Greene,GT3,Natural Gas Fired Combustion Turbine,GT,80.0,OP,1995.0, ,NG,Gas
10.0,AL,Greene,GT4,Natural Gas Fired Combustion Turbine,GT,80.0,OP,1995.0, ,NG,Gas
10.0,AL,Greene,GT5,Natural Gas Fired Combustion Turbine,GT,80.0,OP,1995.0, ,NG,Gas
10.0,AL,Greene,GT6,Natural Gas Fired Combustion Turbine,GT,80.0,OP,1995.0, ,NG,Gas
10.0,AL,Greene,GT7,Natural Gas Fired Combustion Turbine,GT,80.0,OP,1995.0, ,NG,Gas
10.0,AL,Greene,GT8,Natural Gas Fired Combustion Turbine,GT,80.0,OP,1996.0, ,NG,Gas
10.0,AL,Greene,GT9,Natural Gas Fired Combustion Turbine,GT,80.0,OP,1996.0, ,NG,Gas
26.0,AL,Shelby,1,Natural Gas Steam Turbine,ST,272.0,OP,1960.0, ,NG,Gas
26.0,AL,Shelby,2,Natural Gas Steam Turbine,ST,272.0,OP,1960.0, ,NG,Gas
26.0,AL,Shelby,3,Natural Gas Steam Turbine,ST,272.0,OP,1961.0, ,NG,Gas
26.0,AL,Shelby,5,Conventional Steam Coal,ST,952.0,OP,1974.0, ,BIT,Coal
26.0,AL,Shelby,GT4,Petroleum Liquids,GT,21.2,OP,1970.0, ,DFO,Oil
26.0,AL,Shelby,ST4,Natural Gas Steam Turbine,ST,244.8,OP,1962.0, ,NG,Gas
47.0,AL,Colbert,GT1,Natural Gas Fired Combustion Turbine,GT,59.5,OP,1972.0, ,NG,Gas
47.0,AL,Colbert,GT10,Natural Gas Fired Combustion Turbine,GT,231.2,OP,2023.0, ,NG,Gas
47.0,AL,Colbert,GT11,Natural Gas Fired Combustion Turbine,GT,231.2,OP,2023.0, ,NG,Gas
47.0,AL,Colbert,GT2,Natural Gas Fired Combustion Turbine,GT,59.5,OP,1972.0, ,NG,Gas
47.0,AL,Colbert,GT3,Natural Gas Fired Combustion Turbine,GT,59.5,OP,1972.0, ,NG,Gas
47.0,AL,Colbert,GT4,Natural Gas Fired Combustion Turbine,GT,59.5,OP,1972.0, ,NG,Gas
47.0,AL,Colbert,GT5,Natural Gas Fired Combustion Turbine,GT,59.5,OP,1972.0, ,NG,Gas
47.0,AL,Colbert,GT6,Natural Gas Fired Combustion Turbine,GT,59.5,OP,1972.0, ,NG,Gas
47.0,AL,Colbert,GT7,Natural Gas Fired Combustion Turbine,GT,59.5,OP,1972.0, ,NG,Gas
47.0,AL,Colbert,GT8,Natural Gas Fired Combustion Turbine,GT,59.5,OP,1972.0, ,NG,Gas
47.0,AL,Colbert,GT9,Natural Gas Fired Combustion Turbine,GT,231.2,OP,2023.0, ,NG,Gas
54.0,KY,Clark,GT1,Natural Gas Fired Combustion Turbine,GT,149.0,OP,1999.0, ,NG,Gas
54.0,KY,Clark,GT10,Natural Gas Fired Combustion Turbine,GT,98.0,OP,2010.0, ,NG,Gas
54.0,KY,Clark,GT2,Natural Gas Fired Combustion Turbine,GT,149.0,OP,1999.0, ,NG,Gas
54.0,KY,Clark,GT3,Natural Gas Fired Combustion Turbine,GT,149.0,OP,1999.0, ,NG,Gas
54.0,KY,Clark,GT4,Natural Gas Fired Combustion Turbine,GT,108.0,OP,2001.0, ,NG,Gas
54.0,KY,Clark,GT5,Natural Gas Fired Combustion Turbine,GT,108.0,OP,2001.0, ,NG,Gas
54.0,KY,Clark,GT6,Natural Gas Fired Combustion Turbine,GT,98.0,OP,2005.0, ,NG,Gas
54.0,KY,Clark,GT7,Natural Gas Fired Combustion Turbine,GT,98.0,OP,2005.0, ,NG,Gas
54.0,KY,Clark,GT9,Natural Gas Fired Combustion Turbine,GT,98.0,OP,2010.0, ,NG,Gas
56.0,AL,Washington,LEC1,Natural Gas Fired Combined Cycle,CT,459.0,OP,2023.0, ,NG,Gas
