State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Technology,Technology_alt,Operating Year,Age,Total Capital Cost (2024$/kW),Total Nameplate Capacity (MW),Fuel Category,Energy Source,Latitude,Longitude,wind_cf,pvout,Wind Size (MW),Solar Size (MW),NGCC Size (MW),Wind Capital Cost ($),Solar Capital Cost ($),NGCC Capital Cost ($),Existing Capital Cost ($),Remaining Capital Cost ($),Fixed O&M - Wind ($/year),Fixed O&M - Solar ($/year),Fixed O&M - NGCC ($/year),Variable O&M - Wind ($/year),Variable O&M - Solar ($/year),Variable O&M - NGCC ($/year),Fixed O&M - Existing ($/year),Variable O&M - Existing ($/year),Fuel costs ($/MWh),NGCC Fuel Cost ($/year),Existing Fuel Cost ($/year),Annualized Capital - Wind ($),Annualized Capital - Solar ($),Annualized Capital - NGCC ($),Annualized Capital - Existing ($),Old Emissions (tonnes CO2),New Emissions (tonnes CO2),Delta Emissions (tonnes CO2),Net Capital Cost - Wind ($/year),Net Fixed O&M - Wind ($/year),Net Variable O&M - Wind ($/year),Net Fuel Cost - Wind ($/year),Net Capital Cost - Solar ($/year),Net Fixed O&M - Solar ($/year),Net Variable O&M - Solar ($/year),Net Fuel Cost - Solar ($/year),Net Capital Cost - NGCC ($/year),Net Fixed O&M - NGCC ($/year),Net Variable O&M - NGCC ($/year),Net Fuel Cost - NGCC ($/year),Total Cost - Wind ($/year),Total Cost - Solar ($/year),Total Cost - NGCC ($/year),MACC - Wind ($/tonne CO2),MACC - Solar ($/tonne CO2),MACC - NGCC ($/tonne CO2)
AL,3,9909175.25,280.447,5492459.55,1325.482,78038481.45,Conventional Steam Coal,Coal,1971.0,53.0,18365.55948686083,3343.4999999999995,Coal,BIT,31.0069,-88.0103,0.17066957,1559.983,6627.920794122853,6352.1045070962355,1917.2616767278075,18955853471.19136,14248322971.396963,2254699731.8319016,61405248144.31918,0.0,196451572.33780137,109002113.34177141,26324002.821472798,0.0,0.0,20809268.025000002,0.0,0.0,0.0,220925062.19875002,0.0,1377122121.0468853,1035125154.4306244,163801481.254489,0.0,4982675.269128884,3339755.7259816746,1642919.5431472096,1377122121.0468853,196451572.33780137,0.0,0.0,1035125154.4306244,109002113.34177141,0.0,0.0,163801481.254489,26324002.821472798,20809268.025000002,220925062.19875002,1573573693.3846867,1144127267.7723958,431859814.2997118,315.8089998627972,229.62107823101672,262.86120711208565
AL,10,1486496.0,4.784,877874.75,1128.351,14636558.775,Natural Gas Steam Turbine,Oil/Gas steam,1965.0,59.0,11012.762448740481,1288.4,Gas,NG,32.6017,-87.7811,0.22265717,1548.295,762.1192904929972,960.0857445181518,287.612413899853,2179661170.809972,1970939057.4179478,338232198.74622715,14188843138.957235,0.0,22589215.770212438,16475071.375931486,3948918.442844982,0.0,0.0,3121641.6,0.0,0.0,0.0,33141428.32,0.0,158350011.4764663,143186577.13463357,24572201.06979871,0.0,796394.541716325,501003.7064032,295390.835313125,158350011.4764663,22589215.770212438,0.0,0.0,143186577.13463357,16475071.375931486,0.0,0.0,24572201.06979871,3948918.442844982,3121641.6,33141428.32,180939227.24667874,159661648.51056504,64784189.4326437,227.19797508497882,200.4805911482959,219.3168564758284
AL,26,3724241.0,847.64,3277111.004,2318.763,39268998.175,Conventional Steam Coal,Coal,1974.0,50.0,11618.89338019918,2034.0,Coal,BIT,33.244211,-86.458056,0.20900571,1537.702,2034.1150862167538,2421.9523263544747,720.5790960451978,5817569146.579916,5056982664.258446,847401016.9491526,23632829135.325134,0.0,60291171.15546458,41560701.92024279,9893550.988700567,0.0,0.0,7820906.100000001,0.0,0.0,0.0,83031953.095,0.0,422640066.0171138,367384285.98241496,61562761.47691498,0.0,2972944.963030439,1255205.8966446999,1717739.066385739,422640066.0171138,60291171.15546458,0.0,0.0,367384285.98241496,41560701.92024279,0.0,0.0,61562761.47691498,9893550.988700567,7820906.100000001,83031953.095,482931237.1725784,408944987.90265775,162309171.66061553,162.4420375008583,137.5555191865389,94.49000423686414
AL,47,57840.42,3.888,37420.817,61.766,625437.879,Natural Gas Fired Combustion Turbine,Combustion turbine,2023.0,1.0,10176.740269829526,1169.6,Gas,NG,34.7439,-87.8486,0.26394117,1500.082,25.016132824762632,38.558171350004294,11.191165544462503,71546139.87882113,74894525.32727534,13160810.680287903,11902715419.592613,64493529194.461044,741478.1769259644,661658.2203660738,153654.70292547016,0.0,0.0,121464.882,0.0,0.0,0.0,1289552.1639,0.0,5197749.183511013,5441005.741590325,956118.5702495038,4685384694.129176,33947.5926438999,19494.344283413997,14453.248360485904,-4680186944.945665,741478.1769259644,0.0,0.0,-4679943688.387586,661658.2203660738,0.0,0.0,-4684428575.558927,153654.70292547016,121464.882,1289552.1639,-4679445466.76874,-4679282030.167219,-4682863903.810101,-137843.21957243697,-137838.40519271835,-324000.791172502
KY,54,416889.2,1.58,306604.2,88.769,5157543.199,Natural Gas Fired Combustion Turbine,Combustion turbine,1999.0,25.0,6315.14860598998,1055.0,Gas,NG,37.8833,-84.1017,0.2608638,1405.847,182.43270685479683,296.5395141784985,80.66117173593376,521757541.6047189,568402939.1538211,94857537.9614581,6662481779.319428,8915903527.37922,5407305.431176178,5088618.063303035,1107477.8879343707,0.0,0.0,875467.3200000001,0.0,0.0,0.0,9294544.714,0.0,37905117.459305845,41293854.81726864,6891296.879525763,647730686.2143726,278146.63919574,140506.96023363998,137639.6789621,-609825568.7550668,5407305.431176178,0.0,0.0,-606436831.397104,5088618.063303035,0.0,0.0,-640839389.3348469,1107477.8879343707,875467.3200000001,9294544.714,-604418263.3238906,-601348213.333801,-629561899.4129125,-2173.0201920525224,-2161.9826688274834,-4573.985526268675
AL,56,1753729.47,3.261,646064.636,86.62,10871305.052,Natural Gas Fired Combined Cycle,Combined cycle,2023.0,1.0,2418.5876317249026,732.7,Gas,NG,31.488019,-87.910747,0.19005698,1561.809,1053.3547626684763,1122.8834735612365,339.3176747155793,3012594621.231842,2428591598.8700495,399037585.4655213,1772099157.7648363,9601920632.216375,31221435.165493634,19268680.40631082,4658831.673844904,0.0,0.0,3682831.887,0.0,0.0,0.0,39099398.533649996,0.0,218861719.99326438,176434536.11178246,28989646.227686804,697569082.1443455,586099.9529902692,591071.193261549,-4971.240271279821,-478707362.15108114,31221435.165493634,0.0,0.0,-521134546.0325631,19268680.40631082,0.0,0.0,-668579435.9166588,4658831.673844904,3682831.887,39099398.533649996,-447485926.98558754,-501865865.6262523,-621138373.8221638,-763.4976333004705,-856.2803376211576,124946.35944487447
NE,59,405362.95,353.457,487057.496,399.189,4643955.627,Conventional Steam Coal,Coal,1982.0,42.0,3293.5881663737555,109.8,Coal,SUB,40.854765,-98.348222,0.41150495,1576.784,112.45140129221474,257.08209570090304,78.43103281479762,321611007.69573414,457942842.3595752,92234894.590202,361635980.66783834,0.0,3333059.534301245,4411528.762227496,1076858.0805471714,0.0,0.0,851262.1950000001,0.0,0.0,0.0,9037566.97025,0.0,23364689.632312283,33269049.02208142,6700764.693377419,0.0,441851.10839151114,136622.190970265,305228.9174212462,23364689.632312283,3333059.534301245,0.0,0.0,33269049.02208142,4411528.762227496,0.0,0.0,6700764.693377419,1076858.0805471714,851262.1950000001,9037566.97025,26697749.166613527,37680577.78430892,17666451.939174592,60.42250128963679,85.2789029351518,57.87935195797041
NE,60,1224281.29,2125.891,1200502.188,967.595,11446456.991,Conventional Steam Coal,Coal,2011.0,13.0,7140.900869956817,324.3,Coal,SUB,40.580872,-98.312437,0.45317397,1586.281,308.39842567890895,771.7934498854697,236.87820021670152,882019497.4416795,1352556515.8014889,278568763.45484096,2315794152.126996,6235907470.285507,9140929.337122861,13243975.600034662,3252337.688975312,0.0,0.0,2570990.7090000003,0.0,0.0,0.0,27295351.36055,0.0,64077756.40213649,98261758.601749,20237717.440122638,453031889.868896,1089077.2172701235,412627.725853343,676449.4914167805,-388954133.4667595,9140929.337122861,0.0,0.0,-354770131.267147,13243975.600034662,0.0,0.0,-432794172.42877334,3252337.688975312,2570990.7090000003,27295351.36055,-379813204.12963665,-341526155.66711235,-399675492.67024803,-348.74772707271836,-313.5922322598763,-590.8430677258003
KS,108,1747062.29,1166.489,1773082.229,1629.74,16905792.226,Conventional Steam Coal,Coal,1983.0,41.0,3293.5881663737555,348.7,Coal,SUB,37.9308,-100.9725,0.43814236,1717.771,455.18616537098734,1017.0519201761231,338.027685550654,1301832432.9610238,1819543038.4277186,397520558.20756906,1148474193.6145284,0.0,13491717.941596065,17452610.950222272,4641120.122610479,0.0,0.0,3668830.8090000004,0.0,0.0,0.0,38950753.755550005,0.0,94576709.19705823,132187821.1510669,28879435.848695844,0.0,1608513.0699906962,588824.1089160431,1019688.9610746531,94576709.19705823,13491717.941596065,0.0,0.0,132187821.1510669,17452610.950222272,0.0,0.0,28879435.848695844,4641120.122610479,3668830.8090000004,38950753.755550005,108068427.13865429,149640432.10128918,76140140.53585634,67.18529625580187,93.03028672446828,74.66996647253298
AZ,113,1987350.31,918.513,2272264.575,1982.254,22146886.998,Conventional Steam Coal,Coal,1980.0,44.0,6587.176332747511,425.9,Coal,SUB,34.9394,-110.3033,0.14044663,1906.97,1615.3215626111253,1042.1508154463688,384.5194470242242,4619819669.067818,2739909411.4760194,452194869.7004876,2805478400.117165,0.0,47878131.11579375,17883307.993059687,5279452.007642598,0.0,0.0,4173435.651,0.0,0.0,0.0,44307975.16145,0.0,335624870.23808706,199051436.32506865,32851465.065124154,0.0,2061363.6567920025,669809.9902263769,1391553.6665656255,335624870.23808706,47878131.11579375,0.0,0.0,199051436.32506865,17883307.993059687,0.0,0.0,32851465.065124154,5279452.007642598,4173435.651,44307975.16145,383503001.3538808,216934744.31812835,86612327.88521674,186.04335052200707,105.23846367590136,62.24145713257126
AZ,116,626683.21,1.707,337870.985,23.692,5685360.904,Natural Gas Fired Combustion Turbine,Combustion turbine,2019.0,5.0,8335.169537784614,626.2,Gas,NG,33.4225,-111.9122,0.06670708,1890.899,1072.4374956865204,331.42076554115187,121.25284614193949,3067171237.6634483,1297094640.2167163,142593347.06292084,5219483164.560725,22401346966.17226,31787047.372148465,5687180.336686166,1664801.5775288292,0.0,0.0,1316034.741,0.0,0.0,0.0,13971902.16695,0.0,222826651.7698304,94232513.71131885,10359251.44984372,1627433473.0032861,306511.3881659295,211215.241043807,95296.14712212246,-1404606821.2334557,31787047.372148465,0.0,0.0,-1533200959.2919674,5687180.336686166,0.0,0.0,-1617074221.5534425,1664801.5775288292,1316034.741,13971902.16695,-1372819773.8613071,-1527513778.9552813,-1600121483.0679638,-4478.854055230513,-4983.546575856307,-16791.04068097738
AZ,117,2112982.33,4.894,969426.802,133.486,16312518.425,Natural Gas Fired Combined Cycle,Combined cycle,2003.0,21.0,8696.129357130065,1206.7999999999997,Gas,NG,33.4417,-112.1583,0.045467876,1898.935,5305.020943993341,1112.7196374818432,408.82716701493695,15172359899.820953,5653643994.396634,480780748.40956587,10494488908.18456,17730218195.86496,157240820.7799626,19094268.979188427,5613197.003115085,0.0,0.0,4437262.893,0.0,0.0,0.0,47108941.04735,0.0,1102255431.457234,410731082.145158,34928198.0373252,1288081052.4106178,879449.1625443294,712152.591661511,167296.57088281843,-185825620.95338392,157240820.7799626,0.0,0.0,-877349970.2654598,19094268.979188427,0.0,0.0,-1253152854.3732927,5613197.003115085,4437262.893,47108941.04735,-28584800.173421323,-858255701.2862713,-1195993453.4298277,-32.50307282199553,-975.9014367621394,-7148.941828984361
AZ,118,129391.26,0.483,95661.122,24.419,1609688.576,Natural Gas Fired Combustion Turbine,Combustion turbine,2002.0,22.0,2112.0103030148666,184.5,Gas,NG,32.5517,-111.3,0.11751835,1910.623,125.68839280086115,67.72202408613845,25.035070814952405,359468803.41046286,193836046.19098467,29441243.27838403,389665900.9062429,621068245.8697413,3725403.962617525,1162109.9333181358,343731.52228929655,0.0,0.0,271721.646,0.0,0.0,0.0,2884778.1416999996,0.0,26115017.282399897,14081977.763309548,2138874.2770882687,45119932.02346972,86782.3062632334,43609.60327924199,43172.70298399142,-19004914.74106982,3725403.962617525,0.0,0.0,-31037954.26016017,1162109.9333181358,0.0,0.0,-42981057.74638145,343731.52228929655,271721.646,2884778.1416999996,-15279510.778452296,-29875844.326842036,-39480826.43639215,-176.06712054996035,-344.2619309542293,-914.4858604528832
AZ,120,170621.92,0.502,99532.362,9.428,1674743.536,Natural Gas Steam Turbine,Oil/Gas steam,1959.0,65.0,5849.583672323563,417.0,Gas,NG,32.7214,-114.7106,0.2054651,1916.102,94.79657722402214,89.04636364771517,33.0125222505998,271118210.86070335,201174126.40659645,38822726.16670537,2439276391.358926,0.0,2809770.5489200163,1528035.6001947925,453261.9305007353,0.0,0.0,358306.03200000006,0.0,0.0,0.0,3804015.7064000005,0.0,19696442.904159192,14615081.303400394,2820428.7970873183,0.0,90294.2359612614,57505.848864464,32788.38709679739,19696442.904159192,2809770.5489200163,0.0,0.0,14615081.303400394,1528035.6001947925,0.0,0.0,2820428.7970873183,453261.9305007353,358306.03200000006,3804015.7064000005,22506213.45307921,16143116.903595187,7436012.465988055,249.25415463657023,178.7834708576637,226.78799185929972
AZ,124,1343.8,0.032,1099.476,0.481,18501.683,Natural Gas Fired Combustion Turbine,Combustion turbine,2001.0,23.0,594.5735117858569,85.0,Gas,NG,32.252273,-110.992148,0.07167208,1907.701,2.140328962231832,0.7044080623311392,0.2600030957356242,6121340.83198304,2650913.5434761457,305763.64058509405,50538748.50179784,75991591.49885753,63439.350440551505,12087.642349602347,3569.84250445012,0.0,0.0,2821.98,0.0,0.0,0.0,29960.020999999997,0.0,444708.7483031478,192585.9833877659,22213.395661741102,5520706.404788325,997.4278052172001,452.90991746,544.5178877572001,-5075997.656485177,63439.350440551505,0.0,0.0,-5328120.421400559,12087.642349602347,0.0,0.0,-5498493.009126583,3569.84250445012,2821.98,29960.020999999997,-5012558.306044625,-5316032.7790509565,-5462141.165622133,-5025.484831910305,-5329.741913394259,-10031.151020804838
AZ,126,856948.65,15.752,534907.985,816.497,9000847.26,Natural Gas Steam Turbine,Oil/Gas steam,1967.0,57.0,24942.699400386897,528.9000000000001,Gas,NG,32.16,-110.9047,0.1058027,1928.52,924.6000998076418,444.3555894267002,165.80540399349897,2644356285.4498553,1347972169.543285,194987155.09635478,13192193712.864632,0.0,27405146.9582985,7625141.914562175,2276508.196830741,0.0,0.0,1799592.165,0.0,0.0,0.0,19105670.151750002,0.0,192109605.72979656,97928710.83619702,14165604.572291186,0.0,485260.3398998295,288823.145065455,196437.19483437447,192109605.72979656,27405146.9582985,0.0,0.0,97928710.83619702,7625141.914562175,0.0,0.0,14165604.572291186,2276508.196830741,1799592.165,19105670.151750002,219514752.68809506,105553852.7507592,37347375.08587193,452.36491556966865,217.52004866614135,190.12374472849336
SC,130,9164494.42,4638.007,9307816.625,3264.528,90719494.544,Conventional Steam Coal,Coal,2008.0,16.0,10765.507505523248,2390.1,Coal,BIT,33.371506,-80.113235,0.27377507,1580.072,3821.294604540709,5800.0485391739,1773.1782408482318,10928902568.986427,11310296773.383827,2085257611.2375207,25730639488.951115,58174504604.66062,113263172.07858661,99528832.93222412,24345737.246846225,0.0,0.0,19245438.282,0.0,0.0,0.0,204322403.0939,0.0,793972875.4176445,821680749.2157282,151491695.6327419,4226314436.001333,8443908.832605638,3088770.9564852137,5355137.876120424,-3432341560.5836887,113263172.07858661,0.0,0.0,-3404633686.785605,99528832.93222412,0.0,0.0,-4074822740.3685913,24345737.246846225,19245438.282,204322403.0939,-3319078388.505102,-3305104853.8533807,-3826909161.745845,-393.07368830045675,-391.4188226536649,-714.6238342080339
FL,136,10398419.64,3194.442,6452594.227,1465.672,79255280.689,Conventional Steam Coal,Coal,1984.0,40.0,6921.469613961109,1897.8,Coal,BIT,29.733056,-81.632778,0.1774386,1588.472,6689.8305660598735,6546.177294620673,2011.922382168563,19132915418.931236,14576515613.948359,2366020721.43023,13135565033.375391,0.0,198286577.97801465,112332402.37569076,27623694.307174373,0.0,0.0,21836681.244000003,0.0,0.0,0.0,231832765.87379998,0.0,1389985478.816495,1058967992.6710254,171888829.97480243,0.0,5853694.758042727,3504649.040680788,2349045.7173619387,1389985478.816495,198286577.97801465,0.0,0.0,1058967992.6710254,112332402.37569076,0.0,0.0,171888829.97480243,27623694.307174373,21836681.244000003,231832765.87379998,1588272056.7945096,1171300395.0467162,453181971.3997768,271.32813076942415,200.0959126605294,192.9217333022859
AZ,141,163506.94,0.519,102744.69,213.28,1728862.029,Petroleum Liquids,Combustion turbine - aeroderivative,1961.0,63.0,9171.191716695568,712.3,Oil,DFO,33.5561,-112.2153,0.054393373,1900.396,343.1516415366915,86.03835218348561,31.635891184892813,981413694.7949377,386065084.8126461,37203808.03343395,6532639859.802253,0.0,10171014.655147538,1476418.123468613,434360.78596857836,0.0,0.0,343364.574,0.0,0.0,0.0,3645387.2273000004,0.0,71298636.64827764,28047208.175951496,2702816.15691365,0.0,93208.41077424299,55107.83948469801,38100.57128954498,71298636.64827764,10171014.655147538,0.0,0.0,28047208.175951496,1476418.123468613,0.0,0.0,2702816.15691365,434360.78596857836,343364.574,3645387.2273000004,81469651.30342518,29523626.299420107,7125928.744182229,874.0590106267355,316.7485214497252,187.02944609488375
AZ,147,1285009.72,2.676,530083.426,42.571,8919617.088,Natural Gas Fired Combined Cycle,Combined cycle,2002.0,22.0,8034.550090420521,573.7,Gas,NG,33.3556,-111.9353,0.050698236,1898.204,2893.4065387752235,676.9608186912394,248.62814797616284,8275142700.897139,3185015048.011635,292386702.0199675,4609421386.874253,7346717402.170814,85760569.80929762,11616647.64874167,3413664.471712716,0.0,0.0,2698520.412,0.0,0.0,0.0,28649291.7074,0.0,601180109.6449864,231387876.31746572,21241575.635915425,533731022.292697,480883.57379078213,433095.435496724,47788.13829405815,67449087.35228938,85760569.80929762,0.0,0.0,-302343145.9752313,11616647.64874167,0.0,0.0,-512489446.6567816,3413664.471712716,2698520.412,28649291.7074,153209657.161587,-290726498.3264896,-477727970.0656689,318.6003130733758,-604.5673301641531,-9996.789728991562
AZ,160,2037924.24,138.887,1483122.023,1183.104,20687363.112,Natural Gas Steam Turbine,Oil/Gas steam,1979.0,45.0,10329.374392059977,660.7,Gas,NG,32.0603,-109.8931,0.1066012,1946.052,2182.337036787506,1047.20954936182,394.30466682145345,6241483925.212267,3179300249.5079947,463702288.18202925,6824617660.834027,0.0,64684469.770381674,17970115.867048834,5413803.0754585555,0.0,0.0,4279640.904,0.0,0.0,0.0,45435520.9308,0.0,453437013.2492984,230972702.4267913,33687466.49186861,0.0,1345465.607498648,686855.260699608,658610.3467990401,453437013.2492984,64684469.770381674,0.0,0.0,230972702.4267913,17970115.867048834,0.0,0.0,33687466.49186861,5413803.0754585555,4279640.904,45435520.9308,518121483.0196801,248942818.29384014,88816431.40212716,385.08712532824865,185.02354642616925,134.85429105963843
OK,165,3790234.8,785.411,2153586.545,996.73,29004186.916,Conventional Steam Coal,Coal,1985.0,39.0,5712.175798098658,1194.3,Coal,SUB,36.190278,-95.2894,0.4096539,1541.355,1056.196978374048,2459.027834618169,733.3478058973764,3020723358.149778,4365494402.048134,862417019.7353146,6822051555.669227,0.0,31305678.439006787,42196917.64204778,10068865.374970978,0.0,0.0,7959493.08,0.0,0.0,0.0,84503284.866,0.0,219452263.88214138,317148416.42469144,62653657.73426117,0.0,1953700.7637498614,1277448.22921716,676252.5345327014,219452263.88214138,31305678.439006787,0.0,0.0,317148416.42469144,42196917.64204778,0.0,0.0,62653657.73426117,10068865.374970978,7959493.08,84503284.866,250757942.32114816,359345334.0667392,165185301.05523214,128.35022997065968,183.93058995228367,244.26570344668232
AR,170,175675.9,0.558,110584.027,234.077,1860793.213,Natural Gas Steam Turbine,Oil/Gas steam,1970.0,54.0,2081.3263034563565,552.5,Gas,NG,34.4341,-92.9049,0.18374923,1497.525,109.13965359382996,117.31082762288851,33.9903838712174,312139409.2783537,253030494.436441,39972691.43255166,1149932782.659637,0.0,3234899.33252112,2013053.802008767,466687.9705518149,0.0,0.0,368919.39,0.0,0.0,0.0,3916694.1905,0.0,22676588.317218736,18382389.994595885,2903972.521902414,0.0,100320.1373587869,59209.22560553,41110.9117532569,22676588.317218736,3234899.33252112,0.0,0.0,18382389.994595885,2013053.802008767,0.0,0.0,2903972.521902414,466687.9705518149,368919.39,3916694.1905,25911487.649739854,20395443.796604652,7656274.072954229,258.2880001157644,203.30358723156436,186.23459676366048
AR,201,411773.43,1.153,211302.118,143.356,3555359.688,Natural Gas Fired Combined Cycle,Combined cycle,2002.0,22.0,1746.3598431012965,185.0,Gas,NG,35.462382,-93.804926,0.2295805,1532.954,204.74778047746852,268.6143455763791,79.67135477130253,585578652.16556,544971381.118428,93693513.21105178,323076570.97373986,514934970.5725223,6068724.213352167,4609422.170090665,1093887.701009984,0.0,0.0,864724.203,0.0,0.0,0.0,9180488.62185,0.0,42541651.67163691,39591577.63148146,6806731.748461269,37409465.10025323,191690.04852719457,138782.757994881,52907.29053231358,5132186.571383677,6068724.213352167,0.0,0.0,2182112.5312282294,4609422.170090665,0.0,0.0,-30602733.351791963,1093887.701009984,864724.203,9180488.62185,11200910.784735844,6791534.7013188945,-19463632.825931974,58.432406224503616,35.429771933911304,-367.88186713217516
CA,260,5565914.43,11.886,2232029.142,170.414,39620474.981,Natural Gas Fired Combined Cycle,Combined cycle,2002.0,22.0,4765.582608695652,1398.0,Gas,NG,36.804837,-121.782241,0.169046,1677.958,3758.612063487248,3317.076115186043,1076.9124738797307,10749630501.573528,7667188607.166674,1266449069.2825632,6662284486.956522,10618669301.512354,111405261.56176203,56921026.1365925,14786008.2663687,0.0,0.0,11688420.303,0.0,0.0,0.0,124092062.21685001,0.0,780948954.859527,557012906.49955,92006146.3409616,771434766.2276524,2024862.6875765272,1875917.431969581,148945.2556069463,9514188.631874561,111405261.56176203,0.0,0.0,-214421859.72810245,56921026.1365925,0.0,0.0,-679428619.8866909,14786008.2663687,11688420.303,124092062.21685001,120919450.1936366,-157500833.59150994,-528862129.1004721,59.717358088295846,-77.78346381601611,-3550.7148377796852
