facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
59773,-1945.8378350169694,285561.2504509608,Gas to NGCC,Gas,NGCC,832.3,5650513.37,285561.2504509608,0.0
57881,-1934.244301181179,113970.93412675025,Gas to NGCC,Gas,NGCC,293.1000000000001,491755.51,399532.18457771104,285561.2504509608
50006,-1930.8049748838562,298642.7415744029,Gas to NGCC,Gas,NGCC,974.1000000000001,7448760.13,698174.9261521139,399532.18457771104
56238,-1924.3053071528832,17274.306101765702,Gas to NGCC,Gas,NGCC,216.4,213777.21,715449.2322538797,698174.9261521139
56629,-1898.3974523430268,7432.369025795497,Gas to NGCC,Gas,NGCC,96.0,41268.13,722881.6012796751,715449.2322538797
55951,-1881.165520004187,2437.1342882899994,Gas to NGCC,Gas,NGCC,60.5,10908.5,725318.7355679652,722881.6012796751
7302,-1866.0298336899825,1857245.897524802,Gas to NGCC,Gas,NGCC,2266.3,7062107.65,2582564.633092767,725318.7355679651
56473,-1865.1290359946447,2341.6533080135,Gas to NGCC,Gas,NGCC,49.8,12052.76,2584906.2864007805,2582564.633092767
7987,-1856.1187997924665,1951.3083057270992,Gas to NGCC,Gas,NGCC,60.5,10202.95,2586857.594706508,2584906.2864007805
7916,-1846.3952716864283,156127.52062151095,Gas to NGCC,Gas,NGCC,726.0,524114.19,2742985.115328019,2586857.594706508
7063,-1843.4031314112808,196733.35284689674,Gas to NGCC,Gas,NGCC,676.0,758280.61,2939718.4681749158,2742985.115328019
56476,-1834.3270162201911,159857.284283855,Gas to NGCC,Gas,NGCC,619.7,3140587.31,3099575.7524587708,2939718.4681749158
2847,-1784.2596452790997,130104.08539701003,Gas to NGCC,Gas,NGCC,680.6000000000001,394193.4,3229679.837855781,3099575.7524587708
55625,-1778.4618643760614,2003.605627249,Gas to NGCC,Gas,NGCC,47.0,8440.24,3231683.44348303,3229679.837855781
7844,-1776.399089114586,1595.5464555326002,Gas to NGCC,Gas,NGCC,49.0,6970.67,3233278.9899385627,3231683.44348303
55855,-1765.1690273583974,2023.5390456714995,Gas to NGCC,Gas,NGCC,47.0,8269.03,3235302.528984234,3233278.9899385627
55091,-1745.938744055381,362987.37881646026,Gas to NGCC,Gas,NGCC,1734.0,5433406.41,3598289.9078006945,3235302.528984234
