facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
56238,-1960.3967283315612,17274.306101765702,Gas to NGCC,Gas,NGCC,216.4,213777.21,17274.306101765702,0.0
57881,-1946.8277103004896,113970.93412675025,Gas to NGCC,Gas,NGCC,293.1000000000001,491755.51,131245.24022851593,17274.306101765687
56629,-1914.5905790878348,7432.369025795497,Gas to NGCC,Gas,NGCC,96.0,41268.13,138677.60925431142,131245.24022851593
55951,-1894.219073882361,2437.1342882899994,Gas to NGCC,Gas,NGCC,60.5,10908.5,141114.7435426014,138677.60925431142
56476,-1891.622663583199,159857.284283855,Gas to NGCC,Gas,NGCC,619.7,3140587.31,300972.0278264564,141114.7435426014
56473,-1880.1399488055483,2341.6533080135,Gas to NGCC,Gas,NGCC,49.8,12052.76,303313.6811344699,300972.0278264564
7302,-1877.119235391406,1857245.897524802,Gas to NGCC,Gas,NGCC,2266.3,7062107.65,2160559.578659272,303313.6811344698
7987,-1871.3678591591247,1951.3083057270992,Gas to NGCC,Gas,NGCC,60.5,10202.95,2162510.886964999,2160559.578659272
7916,-1856.1854284295937,156127.52062151095,Gas to NGCC,Gas,NGCC,726.0,524114.19,2318638.4075865103,2162510.886964999
7063,-1854.643877741315,196733.35284689674,Gas to NGCC,Gas,NGCC,676.0,758280.61,2515371.760433407,2318638.4075865103
58420,-1813.7042006239976,140179.79471188365,Gas to NGCC,Gas,NGCC,870.0,6298322.47,2655551.5551452907,2515371.760433407
2847,-1793.095765263811,130104.08539701003,Gas to NGCC,Gas,NGCC,680.6000000000001,394193.4,2785655.640542301,2655551.5551452907
55625,-1790.7471637272806,2003.605627249,Gas to NGCC,Gas,NGCC,47.0,8440.24,2787659.24616955,2785655.640542301
55091,-1789.5927251438943,362987.37881646026,Gas to NGCC,Gas,NGCC,1734.0,5433406.41,3150646.62498601,2787659.24616955
7844,-1789.1402282882443,1595.5464555326002,Gas to NGCC,Gas,NGCC,49.0,6970.67,3152242.171441543,3150646.62498601
55131,-1778.4036782047538,360115.30277405516,Gas to NGCC,Gas,NGCC,1256.0,6031041.67,3512357.474215598,3152242.171441543
55855,-1777.0865550204314,2023.5390456714995,Gas to NGCC,Gas,NGCC,47.0,8269.03,3514381.0132612693,3512357.474215598
7757,-1763.780290813924,227802.48059024615,Gas to NGCC,Gas,NGCC,1069.6,7037405.58,3742183.4938515155,3514381.0132612693
3295,-1751.3377209339528,388235.52595154336,Gas to NGCC,Gas,NGCC,758.9,1427856.3,4130419.019803059,3742183.4938515155
2070,-1741.6469452419935,285285.4687222766,Gas to NGCC,Gas,NGCC,510.5,2200212.09,4415704.488525336,4130419.0198030593
55146,-1736.4292253523877,180575.6776240063,Gas to NGCC,Gas,NGCC,903.9000000000001,3938030.93,4596280.166149342,4415704.488525337
55294,-1730.544362232009,16818.275205087266,Gas to NGCC,Gas,NGCC,563.9,2525553.81,4613098.441354429,4596280.166149342
7839,-1721.145636299717,182955.3475803978,Gas to NGCC,Gas,NGCC,892.5,853290.57,4796053.788934827,4613098.441354429
2039,-1709.1679397196983,17257.1317978438,Gas to NGCC,Gas,NGCC,191.3,58015.12,4813310.92073267,4796053.788934827
56150,-1704.5288844003264,361909.33822722733,Gas to NGCC,Gas,NGCC,1376.6000000000001,9237842.97,5175220.258959898,4813310.92073267
1239,-1703.5060379111842,66999.71182783943,Gas to NGCC,Gas,NGCC,300.2,1188051.98,5242219.9707877375,5175220.258959898
2880,-1691.0964598653497,89600.65170395348,Gas to NGCC,Gas,NGCC,450.0,233591.47,5331820.622491691,5242219.9707877375
55111,-1687.607118827597,200450.171116294,Gas to NGCC,Gas,NGCC,692.0,576508.6,5532270.793607986,5331820.622491691
3804,-1679.6527143112332,86655.3694486497,Gas to NGCC,Gas,NGCC,709.0,1932251.26,5618926.163056635,5532270.793607986
56032,-1656.968130841493,11357.138213543698,Gas to NGCC,Gas,NGCC,120.0,57166.65,5630283.301270179,5618926.163056635
55836,-1653.882817955952,3056.0441335900996,Gas to NGCC,Gas,NGCC,60.5,7808.72,5633339.34540377,5630283.301270179
58471,-1646.556136303429,121571.97183523711,Gas to NGCC,Gas,NGCC,358.8,433683.18,5754911.317239007,5633339.34540377
56502,-1645.310689212109,376219.6514671624,Gas to NGCC,Gas,NGCC,730.1999999999999,1239721.93,6131130.968706169,5754911.317239007
56569,-1636.7485142497853,15401.829589396195,Gas to NGCC,Gas,NGCC,121.0,91473.57,6146532.798295565,6131130.968706169
61144,-1634.3690990632588,90196.15721498479,Gas to NGCC,Gas,NGCC,349.0,407920.4,6236728.95551055,6146532.798295565
55694,-1621.7932622900773,145681.3025825934,Gas to NGCC,Gas,NGCC,850.5,2316739.44,6382410.258093144,6236728.95551055
3609,-1619.6176022429659,43996.5633558526,Gas to NGCC,Gas,NGCC,229.6,234792.37,6426406.821448997,6382410.258093144
56283,-1618.6523330766724,10245.092819994996,Gas to NGCC,Gas,NGCC,100.8,52137.22,6436651.914268992,6426406.821448997
56164,-1597.4868488858442,21054.506236624788,Gas to NGCC,Gas,NGCC,334.5,1096536.37,6457706.420505617,6436651.914268992
7296,-1593.6573633856133,83375.01700176462,Gas to NGCC,Gas,NGCC,690.5,2385458.76,6541081.437507382,6457706.420505617
55271,-1593.1056540176328,135212.50439327944,Gas to NGCC,Gas,NGCC,939.4,2767580.65,6676293.941900661,6541081.437507382
7929,-1580.272758514455,79766.2548822623,Gas to NGCC,Gas,NGCC,408.0,261893.9,6756060.196782923,6676293.941900661
55128,-1561.985834591569,54043.03134643687,Gas to NGCC,Gas,NGCC,494.09999999999997,252154.03,6810103.22812936,6756060.196782923
55238,-1557.0018551948372,23524.902164810694,Gas to NGCC,Gas,NGCC,316.0,108134.1,6833628.13029417,6810103.22812936
7964,-1552.8926943750607,37988.3562830825,Gas to NGCC,Gas,NGCC,240.0,139598.93,6871616.486577253,6833628.13029417
55215,-1540.3849535985207,174134.32975608623,Gas to NGCC,Gas,NGCC,1152.8,7153349.23,7045750.816333339,6871616.486577252
55439,-1537.1620339318665,187160.09190432355,Gas to NGCC,Gas,NGCC,1011.4,3977946.24,7232910.908237662,7045750.816333339
10030,-1528.577159729782,16945.296380561198,Gas to NGCC,Gas,NGCC,118.0,92491.63,7249856.204618223,7232910.908237662
55172,-1527.67216366392,320221.5632826572,Gas to NGCC,Gas,NGCC,807.0,4486284.75,7570077.76790088,7249856.204618223
1912,-1524.642151160616,144408.7460507073,Gas to NGCC,Gas,NGCC,644.0,2506403.22,7714486.5139515875,7570077.76790088
55501,-1521.8304989893086,438996.53810806456,Gas to NGCC,Gas,NGCC,1370.0,5222630.84,8153483.052059652,7714486.5139515875
56108,-1518.9904477826883,10128.619645091301,Gas to NGCC,Gas,NGCC,100.8,52796.24,8163611.671704744,8153483.052059652
55165,-1515.0773082578253,28684.3797955883,Gas to NGCC,Gas,NGCC,358.8,105196.13,8192296.051500333,8163611.671704744
55116,-1510.8544802490849,188872.99031663354,Gas to NGCC,Gas,NGCC,977.5,791623.36,8381169.041816966,8192296.051500333
55317,-1485.0294600759212,124487.98064730992,Gas to NGCC,Gas,NGCC,872.2,2253414.6,8505657.022464275,8381169.041816966
