State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
AL,3,9909175.25,280.447,5492459.55,1325.482,78038481.45
AL,10,1486496.0,4.784,877874.75,1128.351,14636558.775
AL,26,3724241.0,847.64,3277111.004,2318.763,39268998.175
AL,47,57840.42,3.888,37420.817,61.766,625437.879
KY,54,416889.2,1.58,306604.2,88.769,5157543.199
AL,56,1753729.47,3.261,646064.636,86.62,10871305.052
NE,59,405362.95,353.457,487057.496,399.189,4643955.627
NE,60,1224281.29,2125.891,1200502.188,967.595,11446456.991
KS,108,1747062.29,1166.489,1773082.229,1629.74,16905792.226
AZ,113,1987350.31,918.513,2272264.575,1982.254,22146886.998
AZ,116,626683.21,1.707,337870.985,23.692,5685360.904
AZ,117,2112982.33,4.894,969426.802,133.486,16312518.425
AZ,118,129391.26,0.483,95661.122,24.419,1609688.576
AZ,120,170621.92,0.502,99532.362,9.428,1674743.536
AZ,124,1343.8,0.032,1099.476,0.481,18501.683
AZ,126,856948.65,15.752,534907.985,816.497,9000847.26
SC,130,9164494.42,4638.007,9307816.625,3264.528,90719494.544
FL,136,10398419.64,3194.442,6452594.227,1465.672,79255280.689
AZ,141,163506.94,0.519,102744.69,213.28,1728862.029
AZ,147,1285009.72,2.676,530083.426,42.571,8919617.088
AZ,160,2037924.24,138.887,1483122.023,1183.104,20687363.112
OK,165,3790234.8,785.411,2153586.545,996.73,29004186.916
AR,170,175675.9,0.558,110584.027,234.077,1860793.213
AR,201,411773.43,1.153,211302.118,143.356,3555359.688
CA,260,5565914.43,11.886,2232029.142,170.414,39620474.981
TX,298,6711822.2,5591.339,7236001.664,5510.945,69044241.042
CA,302,311572.12,0.903,178692.631,11.719,3006826.752
CA,315,3450749.9,8.414,1666706.279,83.231,28045609.789
CA,330,156896.99,0.398,78757.514,3.995,1325244.62
CA,335,3299132.1,7.062,1398861.101,77.0,23538426.625
CA,341,7802.16,0.052,10258.93,3.523,172617.223
CA,350,267892.1,0.912,180731.629,10.874,3041150.07
CA,356,289166.0,1.495,296011.8,22.442,4981035.2
CA,358,2651623.48,5.871,1163167.871,63.602,19572586.158
CA,377,34333.02,0.113,31205.885,4.823,526559.94
IL,384,745535.33,2.283,450594.082,381.131,7601143.81
CA,389,1135303.48,2.836,561799.289,107.467,9453264.784
CA,399,168630.19,0.492,96077.445,14.829,1636720.768
CA,400,2637583.78,6.081,1183756.827,61.299,20269765.454
CA,404,1401486.44,3.213,627403.324,31.6,10711713.101
CA,408,1525954.38,3.216,629011.027,48.318,10718124.19
CA,422,39671.04,0.122,25260.905,3.725,425034.657
CO,469,3788310.81,8.363,1659669.426,325.552,27927150.992
CO,470,7198606.13,3204.193,7665922.752,3311.784,74470034.954
CO,492,138024.91,0.463,83711.41,58.582,1395830.645
CO,525,2726468.64,1681.693,2926078.155,754.6,28519296.394
AL,533,2534440.26,8.144,1597627.103,206.535,26881356.636
CT,544,9372.29,0.718,8382.876,15.963,107823.201
CT,546,40657.71,44.389,33863.347,30.993,461785.783
CT,562,201734.5,71.246,132970.481,133.231,2059422.92
FL,564,5501353.69,1471.678,4312814.979,3522.014,50202690.19
CT,568,3048904.13,5.93,1174019.788,62.202,19699226.567
VT,589,209141.5,0.94,329390.0,109.048,3145989.875
DE,593,266480.73,27.316,179229.62,92.368,2983442.827
DE,594,26759.28,129.114,31534.174,24.084,327035.888
MD,602,1266698.26,533.143,1351803.856,622.348,13175462.839
WA,607,290542.31,2.754,180439.16,31.46,3029270.194
FL,609,7228933.14,14.046,2777304.093,178.65,46706303.88
FL,612,10901489.39,24.435,4544079.235,1014.087,76440344.833
FL,613,6502468.86,12.996,2549149.867,194.949,42762001.34
FL,617,5812474.5,11.294,2232618.639,144.102,37542696.015
FL,619,7379332.17,13.987,2764205.72,191.131,46477490.598
FL,620,8049244.77,16.83,3333434.078,758.492,56091425.589
FL,621,6755575.33,13.668,2695219.935,164.608,45346877.241
FL,628,16848487.89,3540.548,9198521.163,3970.341,124791608.05
FL,634,6702336.9,14.909,2954585.746,755.34,49715626.003
FL,641,2521401.99,8.397,1659855.238,1444.8,27912104.48
FL,643,4271967.21,8.908,1764529.418,404.713,29691670.491
FL,645,6852304.87,616.45,3299602.131,1290.861,49804234.363
FL,663,927538.27,68.884,619128.974,522.935,10265146.029
FL,664,749021.72,1.826,361597.185,75.801,6084593.427
FL,666,188179.23,0.597,113562.25,35.103,1907073.187
FL,667,3550978.76,1505.679,3120637.11,2238.711,39780087.672
FL,673,83.8,0.0,37.895,0.045,636.873
FL,675,171090.16,0.688,134849.794,59.712,2268837.194
FL,676,1164203.41,3.884,769472.035,164.282,12947643.498
FL,683,79767.87,0.547,68637.563,37.667,1154826.476
FL,688,1498948.6,7.004,680589.296,85.135,11449612.372
FL,689,912036.0,3.293,650099.648,150.106,10939507.482
GA,703,11170637.5,7142.565,11173923.435,5684.126,108907641.603
GA,710,18066522.5,36.365,7122407.867,472.817,119848536.431
GA,728,2380876.82,7.265,1439009.569,965.684,24214103.495
OK,762,31855.07,0.088,17313.617,11.856,291345.325
IL,874,0.0,0.0,577.121,0.052,9748.448
IL,876,2483029.86,1114.284,2598742.167,394.403,24778315.316
IL,879,1570316.28,902.766,1859395.038,714.015,17728797.412
IL,889,6492060.92,2413.561,6644539.025,2079.141,63353731.803
IL,913,14372.54,0.045,8782.41,3.699,147779.306
IL,963,766988.95,264.531,820261.72,287.261,8024518.274
IL,976,767181.57,2346.465,1145738.565,425.976,11294541.923
IN,983,5556354.97,2692.619,5797298.065,5430.74,56503929.271
IN,990,3071060.53,9.488,1865493.79,972.133,31387816.285
IN,991,5418778.17,10.316,2043489.274,86.178,34385652.365
IN,994,5288495.1,3656.779,5335171.345,3561.434,51999732.641
IN,997,1581702.44,639.607,1608225.203,683.838,15333963.006
IN,1001,4718327.07,2424.195,4579260.685,4588.73,44732015.829
IN,1004,3087464.14,71.576,2990177.079,703.952,27216606.823
IN,1007,920844.42,2.854,565360.65,88.199,9514353.737
IN,1012,1641562.5,1333.172,1923790.889,1257.628,18788906.621
IN,1040,23762.82,515.609,27186.065,48.212,264988.737
IA,1082,6252607.69,6056.905,6284883.527,3932.493,59924585.631
IA,1091,1409759.41,2508.792,1444749.963,1816.786,13775301.801
IA,1104,16650.15,0.063,12479.215,7.002,209978.133
IA,1122,355253.87,26.908,277916.112,314.231,4688252.322
IA,1131,7583.01,11.21,7798.358,19.289,128129.592
IA,1167,615627.36,181.946,736839.689,819.957,7025516.593
IA,1206,6927.98,0.034,6511.8,38.6,110289.2
IA,1217,8041.47,0.037,6602.177,3.766,110847.362
KS,1230,26163.28,0.097,19179.726,38.239,322721.21
KS,1233,118567.95,0.385,76190.323,95.241,1282034.399
KS,1235,37086.57,0.123,24362.913,31.387,409898.902
KS,1239,1188051.98,2.601,515238.882,112.455,8669782.436
KS,1240,443298.5,2.136,307878.236,90.276,5168784.695
KS,1241,7279504.22,925.038,7337574.854,2699.985,69969769.458
KS,1250,1904879.16,272.415,2001379.374,1233.348,19099703.916
KS,1268,81122.89,0.312,61723.541,44.547,1038667.007
KS,1271,11711.92,0.042,8248.34,9.744,138796.403
KS,1336,87606.57,0.321,34854.311,96.983,1067698.433
KY,1353,1227103.72,30.22,697438.371,981.078,11735727.143
KY,1355,1107367.81,361.624,1162678.054,265.635,11692271.733
KY,1356,10757516.82,7747.474,10582444.154,6656.708,103142781.921
KY,1363,4949570.48,10.04,1988816.043,446.588,33465697.844
KY,1364,8288373.42,3259.141,7888022.083,5675.478,76972964.396
KY,1366,27884.25,0.088,17523.219,11.47,295734.034
KY,1378,6992352.34,14.077,2788315.348,434.022,46918813.029
KY,1379,5385903.06,11660.228,6374723.852,6178.249,60781178.247
KY,1384,539135.56,149.085,530830.088,240.801,5173769.816
LA,1391,3333297.56,20.166,2290241.582,1230.616,38537841.56
LA,1393,1608801.83,4592.114,1917858.676,1442.875,18286228.186
LA,1396,4046054.3,9.038,1790179.255,488.587,30123096.7
