facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
8906,-1974.6733389634371,32981.06024700758,Gas to NGCC,Gas,NGCC,1345.0,1544242.55,32981.06024700758,0.0
55651,-1966.5723966453213,70954.9875769474,Gas to NGCC,Gas,NGCC,346.0,183312.49,103936.04782395498,32981.06024700758
7813,-1934.5220165930693,118103.89105278262,Gas to NGCC,Gas,NGCC,570.0,428581.4,222039.9388767376,103936.04782395498
54805,-1927.451118764124,22801.482008612424,Gas to NGCC,Gas,NGCC,249.3,221815.02,244841.42088535003,222039.9388767376
54574,-1907.9490314503912,45491.1737504614,Gas to NGCC,Gas,NGCC,285.6,244189.99,290332.5946358114,244841.42088535
56041,-1902.0437636226018,35402.8174782172,Gas to NGCC,Gas,NGCC,130.0,331859.8,325735.4121140286,290332.5946358114
55395,-1892.7202511981054,67794.0666815895,Gas to NGCC,Gas,NGCC,306.4,208787.64,393529.47879561805,325735.4121140286
55382,-1865.3722063566877,372657.38673897646,Gas to NGCC,Gas,NGCC,1192.0,9069142.34,766186.8655345945,393529.47879561805
56326,-1865.0805027538045,213625.08565745875,Gas to NGCC,Gas,NGCC,472.1,880136.22,979811.9511920533,766186.8655345945
55936,-1856.155998738888,9064.200001403999,Gas to NGCC,Gas,NGCC,168.0,46742.97,988876.1511934573,979811.9511920533
56400,-1845.5233889990955,85068.06740980758,Gas to NGCC,Gas,NGCC,411.4,1870356.18,1073944.218603265,988876.1511934574
50450,-1814.5416334637703,4840.747583100001,Gas to NGCC,Gas,NGCC,57.400000000000006,36060.0,1078784.966186365,1073944.218603265
55440,-1809.23765190196,258628.68042876245,Gas to NGCC,Gas,NGCC,927.1,4918503.25,1337413.6466151276,1078784.966186365
55938,-1800.3563747710132,53661.72018786629,Gas to NGCC,Gas,NGCC,383.0,232193.31,1391075.366802994,1337413.6466151276
55510,-1798.5302956519088,3259.818769238299,Gas to NGCC,Gas,NGCC,60.5,13629.77,1394335.1855722321,1391075.366802994
55110,-1796.001548011546,310809.9697912197,Gas to NGCC,Gas,NGCC,692.0,958516.29,1705145.1553634517,1394335.1855722321
55415,-1795.360209793567,164518.45414669922,Gas to NGCC,Gas,NGCC,728.0,721435.84,1869663.609510151,1705145.1553634517
7380,-1793.3064128856824,464536.6332631373,Gas to NGCC,Gas,NGCC,853.3,1788797.86,2334200.2427732884,1869663.6095101512
55626,-1769.6859866196232,3336.2503798243997,Gas to NGCC,Gas,NGCC,47.0,14807.99,2337536.493153113,2334200.2427732884
56196,-1756.3106835619276,104151.3176037916,Gas to NGCC,Gas,NGCC,528.0,3495457.26,2441687.8107569045,2337536.493153113
